matchId,gameDuration,Input_Role,Input_Player_ID,Input_Ally_TOP_ID,Input_Enemy_TOP_ID,Input_Ally_JUNGLE_ID,Input_Enemy_JUNGLE_ID,Input_Ally_MIDDLE_ID,Input_Enemy_MIDDLE_ID,Input_Ally_BOTTOM_ID,Input_Enemy_BOTTOM_ID,Input_Ally_UTILITY_ID,Input_Enemy_UTILITY_ID,Target_GoldDiff_5,Target_XpDiff_5,Target_CsDiff_5,Target_GoldDiff_10,Target_XpDiff_10,Target_CsDiff_10,Target_GoldDiff_15,Target_XpDiff_15,Target_CsDiff_15,Target_GoldDiff_20,Target_XpDiff_20,Target_CsDiff_20,Target_EarlyTakedowns,Target_LaneCsBefore10,Target_DmgTotal,Target_DmgPhys,Target_DmgMagic,Target_DmgTrue,Target_DmgTurret,Target_DmgObj,Target_TotalCS,Target_GoldEarned,Target_DragonTakedowns,Target_BaronTakedowns,Target_RiftHeraldTakedowns,Target_VoidMonsterTakedowns,Target_TurretPlates,Target_MaxCsAdvantage,Target_SoloKills,Target_VisionScore,Target_WardsPlaced,Target_WardsKilled,Target_ControlWardsPlaced,Target_TimeCC,Target_TotalCC,Target_TotalHeal,Target_HealOnTeammates,Target_DamageShielded,Target_DamageTaken,Target_DamageMitigated,Target_KillParticipation,Target_Team_Dragons,Target_Team_Barons,Target_Team_Towers,Target_Team_Inhibitors,Target_Team_RiftHeralds,Target_Team_VoidGrubs,Target_Team_ElderDragons,Target_JgCsBefore10,Target_EnemyJgInvades
EUW1_7711445675,23.883333333333333,BOTTOM,119,41,904,245,126,166,103,119,145,267,111,582,-61,0,714,174,10,1890,147,2,2286,563,14,7,82.0,946.0572226099092,908.0390788555478,20.01395673412421,17.96231681786462,277.22260990928123,755.7152826238661,224,15622,2,1,0,1,8,33.0,0,0.9211444521981856,0.3768318213538032,0.1674808094905792,0.0418702023726448,0.2930914166085136,1.8422889043963715,231.9190509420796,0.0,0.0,647.4808094905792,509.5184926727146,0.47,3,1,4,0,0,0,0,,
EUW1_7711445675,23.883333333333333,UTILITY,267,41,904,245,126,166,103,119,145,267,111,230,311,-4,-178,231,-7,-36,328,-9,926,1288,-5,9,7.0,286.1409630146546,46.81088625261689,237.15282623866017,2.135380321004885,88.01116538729937,165.2198185624564,23,8132,3,1,0,1,7,0.0,0,2.6378227494766224,0.7955338450802513,0.2930914166085136,0.1256106071179344,0.6699232379623168,6.908583391486392,460.6140963014655,289.03000697836706,59.12072575017446,481.80041870202376,191.7655268667132,0.56,3,1,4,0,0,0,0,,
EUW1_7711408955,15.416666666666666,TOP,67,67,31,427,126,157,38,202,21,60,98,363,-184,9,946,376,31,1375,850,44,1372,571,41,1,96.0,513.0810810810812,378.87567567567567,5.513513513513514,128.62702702702703,108.32432432432432,108.32432432432432,151,5845,0,0,0,0,2,46.0,0,0.8432432432432433,0.3243243243243243,0.0648648648648648,0.0,0.3891891891891892,0.7135135135135136,168.38918918918918,0.0,0.0,488.0432432432432,213.47027027027028,0.08,1,0,2,0,0,3,0,,
EUW1_7711408955,15.416666666666666,JUNGLE,427,67,31,427,126,157,38,202,21,60,98,86,692,13,44,496,10,431,257,0,541,527,4,9,,167.54594594594596,45.14594594594595,100.8,21.47027027027027,45.27567567567568,837.9891891891892,115,6856,1,0,0,3,3,17.500000059604645,0,1.1027027027027028,0.3243243243243243,0.0648648648648648,0.1945945945945946,1.491891891891892,10.962162162162162,282.2918918918919,95.35135135135135,90.87567567567568,225.47027027027028,234.3567567567568,0.69,1,0,2,0,0,3,0,73.0,9.0
EUW1_7711408955,15.416666666666666,MIDDLE,157,67,31,427,126,157,38,202,21,60,98,575,-86,10,1126,332,25,2292,1305,28,2326,1352,30,6,104.0,568.2162162162163,501.2108108108108,50.983783783783785,15.891891891891891,351.9567567567568,421.7513513513514,156,7361,1,0,0,0,5,30.25,1,0.8432432432432433,0.4540540540540541,0.0,0.0648648648648648,0.5837837837837838,6.616216216216216,168.06486486486486,0.0,0.0,372.5837837837838,431.8054054054054,0.46,1,0,2,0,0,3,0,,
EUW1_7711408955,15.416666666666666,BOTTOM,202,67,31,427,126,157,38,202,21,60,98,197,-302,10,-745,-572,-11,1015,231,-1,792,-278,-11,7,69.0,586.4432432432433,572.5621621621622,13.816216216216215,0.0,299.6756756756757,306.87567567567567,116,7091,1,0,0,0,5,19.0,0,0.3891891891891892,0.3243243243243243,0.0648648648648648,0.0,1.037837837837838,6.032432432432433,101.44864864864866,0.0,0.0,443.0918918918919,147.04864864864865,0.54,1,0,2,0,0,3,0,,
EUW1_7711408955,15.416666666666666,UTILITY,60,67,31,427,126,157,38,202,21,60,98,461,337,-2,437,-390,-12,1614,1636,-10,1614,1636,-10,9,16.0,584.627027027027,89.1891891891892,457.6864864864865,37.68648648648649,188.8864864864865,320.3675675675676,24,5266,1,0,0,0,4,0.0,0,2.7243243243243245,0.8432432432432433,0.518918918918919,0.3243243243243243,1.1675675675675676,1.3621621621621622,151.07027027027027,0.0,0.0,389.12432432432433,127.65405405405406,0.69,1,0,2,0,0,3,0,,
EUW1_7710203612,22.916666666666668,TOP,41,41,39,11,131,13,950,119,222,43,117,1260,1076,15,1587,1608,22,3471,4466,46,4709,4861,44,8,80.0,1046.050909090909,769.2218181818181,110.79272727272726,165.99272727272725,344.3781818181818,512.2472727272727,200,13629,1,1,0,1,7,52.0,8,0.8290909090909091,0.3927272727272727,0.0,0.0436363636363636,0.48,9.076363636363636,125.71636363636362,0.0,0.0,781.2654545454545,664.6254545454545,0.42,3,1,8,1,0,0,0,,
EUW1_7710203612,22.916666666666668,JUNGLE,11,41,39,11,131,13,950,119,222,43,117,-152,-237,-5,-1108,-979,-17,923,209,-4,-252,-1007,-16,9,,1123.810909090909,714.6327272727273,59.60727272727272,349.5272727272727,240.26181818181817,1429.9199999999998,186,14046,3,1,0,1,7,4.000000029802322,3,1.309090909090909,0.3927272727272727,0.0872727272727272,0.0,0.5236363636363636,14.312727272727273,394.56,0.0,0.0,752.9890909090909,746.5309090909091,0.47,3,1,8,1,0,0,0,68.0,2.0
EUW1_7710203612,22.916666666666668,MIDDLE,13,41,39,11,131,13,950,119,222,43,117,120,-152,-2,90,545,8,435,673,9,-304,3016,27,9,81.0,891.4036363636363,58.99636363636363,830.9672727272726,1.44,446.4,643.0690909090908,218,12123,1,1,0,1,15,49.0,2,0.7854545454545454,0.3927272727272727,0.0436363636363636,0.0,1.3963636363636365,3.4909090909090907,173.3672727272727,0.0,0.0,648.6981818181818,606.4145454545454,0.39,3,1,8,1,0,0,0,,
EUW1_7710203612,22.916666666666668,BOTTOM,119,41,39,11,131,13,950,119,222,43,117,-13,-19,10,1202,759,27,3271,1773,43,2711,-195,39,9,81.0,699.7527272727273,698.7490909090909,0.0,0.96,280.71272727272725,339.27272727272725,180,12660,1,0,0,0,11,45.0,0,0.6545454545454545,0.2618181818181818,0.1309090909090909,0.0,0.4363636363636363,4.363636363636363,187.5490909090909,0.0,0.0,747.1854545454545,570.5018181818182,0.31,3,1,8,1,0,0,0,,
