matchId,teamId,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,SUCCESS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,SUCCESS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,SUCCESS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
7696493295,100,16.2,0-14,14-25,0,-2519,1,NEUTRAL,,FARM_HEAVY,1,,,51,131,105,126,37
7696493295,200,16.2,0-14,14-25,0,-2519,1,TOP,0,FARM_HEAVY,1,,,110,887,142,58,555
7696494121,100,16.2,0-14,14-25,1,933,-1,BOT,1,GANK_HEAVY,1,GROUP,1,222,20,141,54,432
7696494121,200,16.2,0-14,14-25,1,933,-1,NEUTRAL,,MIXED,,GROUP,1,145,427,777,68,53
7696499170,100,16.2,0-14,14-25,0,-6268,-1,NEUTRAL,,FARM_HEAVY,1,,,523,35,800,126,432
7696499170,200,16.2,0-14,14-25,0,-6268,-1,NEUTRAL,,FARM_HEAVY,1,,,804,104,69,14,7
7696500747,100,16.2,0-14,14-25,1,-1643,0,TOP,1,MIXED,,GROUP,0,51,76,161,150,89
7696500747,200,16.2,0-14,14-25,1,-1643,0,NEUTRAL,,GANK_HEAVY,1,GROUP,1,804,98,61,24,22
7696510051,100,16.2,0-14,14-25,1,1947,1,NEUTRAL,,MIXED,,GROUP,1,22,64,7,106,412
7696510051,200,16.2,0-14,14-25,1,1947,1,NEUTRAL,,MIXED,,GROUP,1,236,62,75,897,267
7696510561,100,16.2,0-14,14-25,0,-3210,-1,NEUTRAL,,MIXED,,GROUP,1,51,121,127,904,60
7696510561,200,16.2,0-14,14-25,0,-3210,-1,BOT,1,FARM_HEAVY,0,SPLIT,1,119,799,134,110,7
7696522399,100,16.2,0-14,14-25,0,7494,1,NEUTRAL,,MIXED,,,,21,517,238,166,235
7696522399,200,16.2,0-14,14-25,0,7494,1,NEUTRAL,,MIXED,,,,29,154,246,39,26
7696532433,100,16.2,0-14,14-25,1,-2415,-1,NEUTRAL,,FARM_HEAVY,0,GROUP,1,202,238,4,126,201
7696532433,200,16.2,0-14,14-25,1,-2415,-1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,51,9,950,54,43
7696534973,100,16.2,0-14,14-25,0,6082,2,NEUTRAL,,FARM_HEAVY,1,GROUP,1,51,92,8,36,432
7696534973,200,16.2,0-14,14-25,0,6082,2,NEUTRAL,,FARM_HEAVY,0,GROUP,0,42,98,67,9,117
7696535332,100,16.2,0-14,14-25,0,6597,1,NEUTRAL,,MIXED,,GROUP,1,110,35,103,41,497
7696535332,200,16.2,0-14,14-25,0,6597,1,BOT,0,MIXED,,GROUP,0,804,887,238,27,117
7696536117,100,16.2,0-14,14-25,1,-1936,-1,NEUTRAL,,FARM_HEAVY,0,,,804,266,517,106,117
7696536117,200,16.2,0-14,14-25,1,-1936,-1,NEUTRAL,,GANK_HEAVY,1,,,901,121,105,68,497
7696536266,100,16.2,0-14,14-25,0,-6958,-3,TOP,0,FARM_HEAVY,0,,,50,107,161,78,43
7696536266,200,16.2,0-14,14-25,0,-6958,-3,NEUTRAL,,FARM_HEAVY,1,,,114,245,777,69,555
7696552494,100,16.2,0-14,14-25,0,4412,2,TOP,1,MIXED,,GROUP,1,15,11,238,14,60
7696552494,200,16.2,0-14,14-25,0,4412,2,NEUTRAL,,MIXED,,SPLIT,1,81,234,36,421,43
7696553763,100,16.2,0-14,14-25,1,2147,0,NEUTRAL,,MIXED,,,,202,141,127,516,40
7696553763,200,16.2,0-14,14-25,1,2147,0,NEUTRAL,,MIXED,,,,429,163,238,68,888
7696555277,100,16.2,0-14,14-25,1,-2345,-1,NEUTRAL,,FARM_HEAVY,1,,,110,121,25,13,53
