error_rank,match_id,team_id,minute,event_type,killer,victim,assists,killer_relation,victim_relation,assist_relations,ally_support_involved,ally_adc_involved,ally_support_died,ally_adc_died,ally_support_assist,ally_adc_assist,x,y,nearest_frame_minute,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,out_bot_context_v5,far_from_adc_v5
3,EUW1_7708715292,200,3.4646666666666666,CHAMPION_KILL,"Nidalee(JUNGLE,T100,pid2)","Diana(JUNGLE,T200,pid7)","Qiyana(MIDDLE,T100,pid3)",enemy_jungle,ally_jungle,enemy_middle,False,False,False,False,False,False,5693,8826,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,4.212783333333333,CHAMPION_KILL,"Tristana(BOTTOM,T100,pid4)","Caitlyn(BOTTOM,T200,pid9)","Blitzcrank(UTILITY,T100,pid5)",enemy_bottom,ally_adc,enemy_utility,False,True,False,True,False,False,12079,4383,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,4.5145,CHAMPION_KILL,"Tristana(BOTTOM,T100,pid4)","Senna(UTILITY,T200,pid10)","Blitzcrank(UTILITY,T100,pid5)",enemy_bottom,ally_support,enemy_utility,True,False,True,False,False,False,13404,3554,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,4.666616666666667,CHAMPION_KILL,"Diana(JUNGLE,T200,pid7)","Qiyana(MIDDLE,T100,pid3)",,ally_jungle,enemy_middle,,False,False,False,False,False,False,7145,6353,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,4.6927666666666665,CHAMPION_KILL,"Teemo(TOP,T200,pid6)","Swain(TOP,T100,pid1)",,ally_top,enemy_top,,False,False,False,False,False,False,1058,10819,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,4.916033333333333,CHAMPION_KILL,"Nidalee(JUNGLE,T100,pid2)","Teemo(TOP,T200,pid6)","Swain(TOP,T100,pid1)",enemy_jungle,ally_top,enemy_top,False,False,False,False,False,False,1323,12320,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,5.9374,CHAMPION_KILL,"Diana(JUNGLE,T200,pid7)","Blitzcrank(UTILITY,T100,pid5)","Caitlyn(BOTTOM,T200,pid9)",ally_jungle,enemy_utility,ally_adc,False,True,False,False,False,True,11675,1731,6.00365,MID_LANE,BOT_LANE_CORE,7680.032877533794,False,False
3,EUW1_7708715292,200,5.960216666666667,CHAMPION_KILL,"Qiyana(MIDDLE,T100,pid3)","Senna(UTILITY,T200,pid10)",,enemy_middle,ally_support,,True,False,True,False,False,False,7275,7966,6.00365,MID_LANE,BOT_LANE_CORE,7680.032877533794,False,False
3,EUW1_7708715292,200,6.18195,CHAMPION_KILL,"Diana(JUNGLE,T200,pid7)","Tristana(BOTTOM,T100,pid4)","Caitlyn(BOTTOM,T200,pid9)",ally_jungle,enemy_bottom,ally_adc,False,True,False,False,False,True,10153,1355,6.00365,MID_LANE,BOT_LANE_CORE,7680.032877533794,False,False
3,EUW1_7708715292,200,6.1852833333333335,CHAMPION_KILL,"Nidalee(JUNGLE,T100,pid2)","Diana(JUNGLE,T200,pid7)","Tristana(BOTTOM,T100,pid4)",enemy_jungle,ally_jungle,enemy_bottom,False,False,False,False,False,False,10295,1273,6.00365,MID_LANE,BOT_LANE_CORE,7680.032877533794,False,False
3,EUW1_7708715292,200,6.2142333333333335,CHAMPION_KILL,"Yasuo(MIDDLE,T200,pid8)","Qiyana(MIDDLE,T100,pid3)",,ally_middle,enemy_middle,,False,False,False,False,False,False,6083,6157,6.00365,MID_LANE,BOT_LANE_CORE,7680.032877533794,False,False
3,EUW1_7708715292,200,7.672366666666667,CHAMPION_KILL,"Teemo(TOP,T200,pid6)","Swain(TOP,T100,pid1)",,ally_top,enemy_top,,False,False,False,False,False,False,1913,12273,8.004383333333333,RED_BASE,BOT_LANE_CORE,8738.865658653875,False,False
3,EUW1_7708715292,200,7.7158,CHAMPION_KILL,"Qiyana(MIDDLE,T100,pid3)","Senna(UTILITY,T200,pid10)",,enemy_middle,ally_support,,True,False,True,False,False,False,6716,7246,8.004383333333333,RED_BASE,BOT_LANE_CORE,8738.865658653875,False,False
