model,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds,best_epoch,hidden_dims,dropout,lr,weight_decay,run_id,outdir,wall_seconds
mlp_per_role_raw,raw,0.03068201243877411,0.17516281694119362,0.14104147255420685,0.14831268336542447,0.3858665861651708,0.3716534115117646,0.07653365284204483,0.18980245292186737,0.40322794391677375,268322,57314,val,255.189923286438,30,"[192, 96]",0.4,0.0002,0.0001,052_h192-96_d0p4_lr2em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\052_h192-96_d0p4_lr2em04_wd1em04,255.9002013206482
mlp_per_role_raw,raw,0.030685758218169212,0.17517350889380853,0.14104147255420685,0.14820874771613535,0.38574554725065135,0.3715419138930934,0.07658315449953079,0.18980245292186737,0.40348875012198304,268322,57314,val,313.5019624233246,30,"[192, 96]",0.4,0.0002,0.001,054_h192-96_d0p4_lr2em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\054_h192-96_d0p4_lr2em04_wd1em03,314.25887179374695
mlp_per_role_raw,raw,0.030758382752537727,0.17538067953037964,0.1412879377603531,0.1461927626734093,0.385416862486551,0.3711656408164266,0.06879487633705139,0.18980245292186737,0.36245514890880237,268322,57314,val,164.38321614265442,11,"[256, 128]",0.4,0.001,0.0005,074_h256-128_d0p4_lr1em03_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\074_h256-128_d0p4_lr1em03_wd5em04,164.99585151672363
mlp_per_role_raw,raw,0.030743496492505074,0.1753382345425694,0.1411336213350296,0.1466060221663169,0.384676429589166,0.37101576087777777,0.0799177810549736,0.18980245292186737,0.4210576829998712,268322,57314,val,219.49677348136902,19,"[256, 128]",0.4,0.0005,0.001,078_h256-128_d0p4_lr5em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\078_h256-128_d0p4_lr5em04_wd1em03,220.05819487571716
mlp_per_role_raw,raw,0.030758783221244812,0.17538182123938847,0.14128939807415009,0.14618164782581755,0.38505984786874753,0.37100025783524315,0.0691857561469078,0.18980245292186737,0.36451455227182067,268322,57314,val,168.06377387046814,11,"[256, 128]",0.4,0.001,0.001,075_h256-128_d0p4_lr1em03_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\075_h256-128_d0p4_lr1em03_wd1em03,168.6995632648468
mlp_per_role_raw,raw,0.03074514865875244,0.17534294584827884,0.1412498652935028,0.14656014385923588,0.38416952190642933,0.3709139771097003,0.07096989452838898,0.18980245292186737,0.37391452763576194,268322,57314,val,363.82285237312317,27,"[256, 128, 64]",0.4,0.0002,0.0001,106_h256-128-64_d0p4_lr2em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\106_h256-128-64_d0p4_lr2em04_wd1em04,364.6518306732178
mlp_per_role_raw,raw,0.030744625255465508,0.17534145332882783,0.14119581878185272,0.14657468775555282,0.38439424530054994,0.3707938826159462,0.0726020336151123,0.18980245292186737,0.3825136740724795,268322,57314,val,371.75989174842834,28,"[256, 128, 64]",0.4,0.0002,0.0005,107_h256-128-64_d0p4_lr2em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\107_h256-128-64_d0p4_lr2em04_wd5em04,372.5897288322449
mlp_per_role_raw,raw,0.03072258085012436,0.17527858069406074,0.1411689668893814,0.14718659558839875,0.38422633803565454,0.3707516738893798,0.07304070144891739,0.18980245292186737,0.38482485512968984,268322,57314,val,142.7996654510498,14,"[128, 64]",0.2,0.001,0.0001,001_h128-64_d0p2_lr1em03_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\001_h128-64_d0p2_lr1em03_wd1em04,143.34671211242676
mlp_per_role_raw,raw,0.030762357637286186,0.17539201132687368,0.14126411080360413,0.14608244189890784,0.38372228625625565,0.3707212487169127,0.07169586420059204,0.18980245292186737,0.3777393974465958,268322,57314,val,160.1526050567627,11,"[256, 128, 64]",0.3,0.001,0.0005,092_h256-128-64_d0p3_lr1em03_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\092_h256-128-64_d0p3_lr1em03_wd5em04,160.7242567539215
mlp_per_role_raw,raw,0.030745700001716614,0.17534451802584708,0.1412055939435959,0.14654483138303231,0.384323672020989,0.3706224803260532,0.07269179075956345,0.18980245292186737,0.382986571777801,268322,57314,val,333.41946244239807,28,"[256, 128, 64]",0.4,0.0002,0.001,108_h256-128-64_d0p4_lr2em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\108_h256-128-64_d0p4_lr2em04_wd1em03,334.0731589794159
