support_champion_name,games,mean,median,std,q25,q75
Rakan,15160,0.4187952524345345,0.41891976859413255,0.17628152422455354,0.29754807072922596,0.5394906851246748
Aatrox,51,0.4176038760773782,0.4438918851806575,0.20646954660264444,0.3044919587385448,0.5294054243880337
Nautilus,28879,0.4161522916633062,0.41767750287211836,0.1743034171849663,0.2939819438218032,0.5372389556808486
Zac,379,0.4161401930410826,0.40719270355686893,0.1989067972929259,0.26840014758827246,0.5518213702961994
Leona,12027,0.41426731404073,0.41162971206896204,0.1814777636355468,0.2850384069967249,0.5365802502349462
Neeko,9380,0.41035881376516287,0.4078045443205467,0.17439709128443445,0.28629315829018726,0.5310083394307343
Amumu,735,0.410077522446097,0.41887339353238784,0.18559391978845743,0.27358140262517694,0.5409256431712115
FiddleSticks,1395,0.40524715898064223,0.4024686759023159,0.18461183239666798,0.27424318660023483,0.5288851722202724
Ambessa,7,0.40321796969087076,0.4452553923589698,0.1494669422714142,0.3176709238414727,0.49681078967872616
Jayce,8,0.4004994149669604,0.3907481426062407,0.1066229840394945,0.3312770234754159,0.5000980877580281
Riven,13,0.4004027168924455,0.44587732989633616,0.16585990919121535,0.3083831490566421,0.5075381094818303
Illaoi,6,0.39798964818052057,0.40690658404941166,0.15646362845710052,0.30076958939804566,0.5108534567663437
Teemo,230,0.3954299163259164,0.38674717163098693,0.18997875444228024,0.2621705364705172,0.5108961540886255
Katarina,30,0.3925053005132121,0.3801702293174275,0.18236360550761957,0.2892706238372731,0.5577065591886323
Udyr,10,0.39160356852379613,0.40190251238152264,0.1752125413303201,0.2463974154550923,0.5254622652108661
Ivern,364,0.3913544429505531,0.3999505848242484,0.1922160162153791,0.24476210118916525,0.5280889968787462
Karma,27136,0.3872413347731952,0.38423714995206465,0.17894842821957122,0.25804761546832566,0.5101498082533454
Caitlyn,20,0.38696961522922135,0.34626182610853307,0.22095816534705848,0.26576231988234517,0.46827030251735313
Rumble,75,0.38463350348380615,0.39456880611557205,0.1963485152668193,0.2192926064889621,0.5363191108758099
Zed,127,0.38414554821814856,0.39939989876999354,0.18822568240434862,0.24066013935739164,0.5053722944232685
Sett,65,0.38161031805286233,0.3720686908813782,0.1770230500618586,0.2532861692983619,0.5358656020908126
DrMundo,23,0.3797970843254643,0.36859130743377705,0.17028889294781427,0.31487113978953063,0.4276422673791746
Thresh,19852,0.37826721529802937,0.3752518318731949,0.1753007980714164,0.24973185596713182,0.49739437073736664
Brand,1171,0.37611689009297805,0.36208566642363854,0.19445278043273675,0.23153643322465306,0.515299701578714
Vex,57,0.3740241052170365,0.3583166084170391,0.1893420200786314,0.24819640299431073,0.45262659277737916
Annie,477,0.37199771130762416,0.3599907655812057,0.1872594898405839,0.23525129538966535,0.49374377373724526
Lucian,6,0.37139438548868675,0.32842407771513155,0.38329506737853575,0.0572184429482942,0.5356322140356644
Diana,6,0.3698428858583782,0.30400947626978475,0.20639873541484888,0.26115291797400547,0.46838054729936074
Ezreal,131,0.36902367901359234,0.3270425978929559,0.1886396031395654,0.23603925112150687,0.4758186372445267
Sion,119,0.36901455225619606,0.3463900323926311,0.1822374935294418,0.22508374092263844,0.4985817713861642
Anivia,1592,0.36895101816428216,0.3640821986430076,0.18044949244222144,0.2351548625268785,0.4883339999487207
Garen,4,0.36782030570502466,0.350949774263819,0.3200429378875832,0.20973068687274288,0.5090393930961008
Ahri,62,0.3674803171675012,0.34816224495872666,0.19563520850168725,0.2219223239235803,0.4854114524512014
Syndra,88,0.3674558134801378,0.3388951858924458,0.1830742400188722,0.23622615072424785,0.4873218212665456
Shen,976,0.3665246756514032,0.3541599364532612,0.1785776905821669,0.24136307625509157,0.4816142026109842
KSante,227,0.36486484962245147,0.3527197720134812,0.16930777840635777,0.249165705494661,0.463749776672272
Zilean,5960,0.3632546960152771,0.3542471844814112,0.18551596664528944,0.2288546971478844,0.4890058885775818
TahmKench,1598,0.3611372964860509,0.3535533905932738,0.16669570423291907,0.23556954575248687,0.4791817559126776
Braum,14668,0.3591134453520027,0.3545880085840656,0.17428762479349363,0.230223052258181,0.47963225339251975
Morgana,2078,0.3590784735412301,0.35720076978566206,0.1832466271817781,0.22183106293292265,0.48157490828400834
Lux,3027,0.356235730341071,0.3453779949985999,0.18281187772047286,0.22609461489371502,0.4730071136468995
Zaahen,37,0.3540857438092385,0.31551253691992054,0.184990690657928,0.22183106293292265,0.49355205752610115
Tryndamere,3,0.3527850569489283,0.4053600464421103,0.20397511536022606,0.2665145818160082,0.46534302682843937
Urgot,24,0.3509776161356383,0.31766405762887384,0.18997790314153742,0.2298272573139389,0.4872740072262079
Karthus,114,0.3500956233501037,0.3410129662212666,0.1896213575326293,0.19545019685661652,0.47489220508276453
Varus,26,0.34711990752718513,0.33621387636221484,0.16733276321012489,0.25203475580126056,0.429982285545299
Nami,35437,0.34617523496966535,0.33726196036032086,0.17973201294954938,0.211384993783483,0.46824833689672857
Renata,2483,0.3450582948867364,0.3342119488305628,0.1768034836634851,0.216069436819897,0.4658998674805697
MonkeyKing,27,0.34430105202747513,0.32647788765626934,0.16400631873086907,0.24760490935903312,0.40028537085008337
Nasus,109,0.34133274790878043,0.3322719167479946,0.1893182520525986,0.2003497730284889,0.46224180529536046
Mel,800,0.33964759793331495,0.3253971471157834,0.1785837994212732,0.2075987536501338,0.45454199731477596
Ornn,58,0.33797542193184604,0.3109797699593648,0.18425047760861724,0.2259002433371148,0.43248134871322796
Veigar,360,0.3373755019787408,0.3296860755246714,0.17856760728480953,0.22218326794168203,0.4502762941409301
Malzahar,47,0.33540387606207367,0.3206078009405397,0.15956152206051563,0.2034182355942222,0.4639782005380917
Ashe,549,0.33465265643420705,0.3135799086541153,0.18104004381596145,0.20228268685477357,0.454903501319046
Sona,11424,0.3335971472202456,0.3209828824241284,0.18110230040842876,0.19929506912381115,0.45236994461976593
Viktor,10,0.3310366069824834,0.30625529557787234,0.1794705970664985,0.17283515208589728,0.46469691090260423
Velkoz,3327,0.33090794429730797,0.3228759308072271,0.16860227356791976,0.20481336095311253,0.4385501377977873
