role_slot,champion_name,n
enemy_jungle,Rengar,6572
enemy_jungle,Ekko,6566
enemy_jungle,Jayce,6537
enemy_jungle,Zaahen,6314
enemy_jungle,RekSai,6293
enemy_jungle,Shaco,6202
enemy_jungle,Naafiri,5656
enemy_jungle,Qiyana,5518
enemy_jungle,Nunu,5131
enemy_jungle,Vi,4620
enemy_jungle,Sylas,4510
enemy_jungle,Zac,4260
enemy_jungle,Graves,4167
enemy_jungle,Taliyah,4064
enemy_jungle,Elise,4036
enemy_jungle,Aatrox,3997
enemy_jungle,MasterYi,3806
enemy_jungle,Nidalee,3584
enemy_jungle,Kayn,3538
