config_id,start_minute,max_minute,far_adc_threshold,w_outside,w_far,w_xp,rows,coverage,score_mean,score_std,score_p25,score_median,score_p75,rank_score
cfg_013_s4p0_m10_far2500_w0p45-0p35-0p2,4.0,10.0,2500.0,0.45,0.35,0.2,16278,0.9996315401621224,0.2475966900778239,0.17151329059472,0.1133643820713947,0.2221182403452394,0.3540724789915966,0.600789095275042
cfg_016_s4p0_m10_far2800_w0p45-0p35-0p2,4.0,10.0,2800.0,0.45,0.35,0.2,16278,0.9996315401621224,0.2426022702064228,0.1707386819093997,0.1084094522564708,0.2156164146474102,0.3482095131346722,0.5995578286951657
cfg_003_s4p0_m08_far2200_w0p3-0p45-0p25,4.0,8.0,2200.0,0.3,0.45,0.25,16205,0.9951486121346108,0.2268749867203414,0.1854512914848859,0.0781600179291797,0.1905926352128883,0.3411840261560018,0.5985846908568394
cfg_006_s4p0_m08_far2500_w0p3-0p45-0p25,4.0,8.0,2500.0,0.3,0.45,0.25,16205,0.9951486121346108,0.21941895463148,0.1828272478287605,0.075,0.1829993535875889,0.3289759855006796,0.5963062713422296
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,4.0,8.0,2200.0,0.35,0.4,0.25,16205,0.9951486121346108,0.2203967854696167,0.180213976111475,0.0807174887892376,0.1873528500619578,0.330853223935024,0.5957178559946712
cfg_009_s4p0_m08_far2800_w0p3-0p45-0p25,4.0,8.0,2800.0,0.3,0.45,0.25,16205,0.9951486121346108,0.2132495624685673,0.1806999498504108,0.0702332657200811,0.1742965140697186,0.3209225171232876,0.5944342035161421
cfg_005_s4p0_m08_far2500_w0p35-0p4-0p25,4.0,8.0,2500.0,0.35,0.4,0.25,16205,0.9951486121346108,0.2137692013906287,0.1779742299046616,0.0753285002265519,0.1790398740818467,0.319047619047619,0.5937204153168296
cfg_008_s4p0_m08_far2800_w0p35-0p4-0p25,4.0,8.0,2800.0,0.35,0.4,0.25,16205,0.9951486121346108,0.2082852972458174,0.1762023513486222,0.0702247191011236,0.1716806876371616,0.3100043782837127,0.5920920709210555
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,4.0,8.0,2200.0,0.45,0.35,0.2,16205,0.9951486121346108,0.1976243220481511,0.1701552206656079,0.0645739910313901,0.1593157181571815,0.2934210526315789,0.588145736676618
cfg_039_s5p0_m08_far2200_w0p3-0p45-0p25,5.0,8.0,2200.0,0.3,0.45,0.25,15703,0.9643208056988456,0.2288081445184883,0.1980434154595391,0.0678178603779985,0.1838555265448215,0.3504488961120532,0.5873350563909822
cfg_004_s4p0_m08_far2500_w0p45-0p35-0p2,4.0,8.0,2500.0,0.45,0.35,0.2,16205,0.9951486121346108,0.1918251859790367,0.1683569646318918,0.0602460755197284,0.1517132551848512,0.2872638519082033,0.5864464326526803
cfg_007_s4p0_m08_far2800_w0p45-0p35-0p2,4.0,8.0,2800.0,0.45,0.35,0.2,16205,0.9951486121346108,0.1870267698523268,0.166934381407325,0.0561797752808989,0.1471920289855072,0.2794179229480736,0.5850599744599683
cfg_042_s5p0_m08_far2500_w0p3-0p45-0p25,5.0,8.0,2500.0,0.3,0.45,0.25,15703,0.9643208056988456,0.2209656940313203,0.1949684696516324,0.063352181408147,0.1722882115643209,0.3405185164303483,0.5848440825511766
cfg_038_s5p0_m08_far2200_w0p35-0p4-0p25,5.0,8.0,2200.0,0.35,0.4,0.25,15703,0.9643208056988456,0.2221774639026536,0.1918185415983642,0.0677761779886482,0.1813071755288736,0.3375627665428532,0.5841414581094627
cfg_045_s5p0_m08_far2800_w0p3-0p45-0p25,5.0,8.0,2800.0,0.3,0.45,0.25,15703,0.9643208056988456,0.2143745967887551,0.192280654057451,0.0602580921266097,0.1642886768975528,0.327817088373811,0.582719518424409
cfg_041_s5p0_m08_far2500_w0p35-0p4-0p25,5.0,8.0,2500.0,0.35,0.4,0.25,15703,0.9643208056988456,0.2152063968029487,0.1892153661415363,0.063352181408147,0.171486379786814,0.3280412428261625,0.5819662920524734
cfg_044_s5p0_m08_far2800_w0p35-0p4-0p25,5.0,8.0,2800.0,0.35,0.4,0.25,15703,0.9643208056988456,0.2093476436984463,0.1869616350118934,0.0602580921266097,0.16439332247557,0.3172995846270499,0.5801184220926802
cfg_037_s5p0_m08_far2200_w0p45-0p35-0p2,5.0,8.0,2200.0,0.45,0.35,0.2,15703,0.9643208056988456,0.1994893513360034,0.1825516512946091,0.054172099926222,0.1531286436066848,0.3015674873986095,0.5768237685050063
cfg_040_s5p0_m08_far2500_w0p45-0p35-0p2,5.0,8.0,2500.0,0.45,0.35,0.2,15703,0.9643208056988456,0.1933896676237616,0.1804964471888114,0.0506675440033557,0.1467948717948717,0.291363851455849,0.5749872705308186
cfg_043_s5p0_m08_far2800_w0p45-0p35-0p2,5.0,8.0,2800.0,0.45,0.35,0.2,15703,0.9643208056988456,0.188263258657322,0.1786749003279982,0.0482064737012878,0.1394372112557749,0.2836238065570802,0.5734155246792866
cfg_075_s6p0_m08_far2200_w0p3-0p45-0p25,6.0,8.0,2200.0,0.3,0.45,0.25,12187,0.7484033407025301,0.2388842554312504,0.2172945518228061,0.0598950624762999,0.1834652862362971,0.3778462083648176,0.48716688698435695
cfg_078_s6p0_m08_far2500_w0p3-0p45-0p25,6.0,8.0,2500.0,0.3,0.45,0.25,12187,0.7484033407025301,0.2300408157003896,0.2137310825362939,0.0572592972742225,0.170504871567759,0.3689771591461719,0.48432915825223116
cfg_074_s6p0_m08_far2200_w0p35-0p4-0p25,6.0,8.0,2200.0,0.35,0.4,0.25,12187,0.7484033407025301,0.231831776362638,0.2099733412743977,0.0598230147160102,0.1859649122807017,0.3667503473537956,0.4835600280061119
cfg_081_s6p0_m08_far2800_w0p3-0p45-0p25,6.0,8.0,2800.0,0.3,0.45,0.25,12187,0.7484033407025301,0.2225451235694304,0.2105642075590596,0.0539693593314763,0.160843737414418,0.3525514024686107,0.48187995733286904
cfg_077_s6p0_m08_far2500_w0p35-0p4-0p25,6.0,8.0,2500.0,0.35,0.4,0.25,12187,0.7484033407025301,0.2239709410463173,0.2070056746668305,0.0572592972742225,0.175,0.3509189178334108,0.48109756096057765
cfg_080_s6p0_m08_far2800_w0p35-0p4-0p25,6.0,8.0,2800.0,0.35,0.4,0.25,12187,0.7484033407025301,0.2173081035965758,0.2043639008636297,0.0539693593314763,0.1662318153067678,0.3356526307322616,0.4789724613296691
cfg_073_s6p0_m08_far2200_w0p45-0p35-0p2,6.0,8.0,2200.0,0.45,0.35,0.2,12187,0.7484033407025301,0.209369377075992,0.202229268456257,0.0478510099001344,0.1534615384615384,0.3214981941267999,0.4767443263033405
cfg_076_s6p0_m08_far2500_w0p45-0p35-0p2,6.0,8.0,2500.0,0.45,0.35,0.2,12187,0.7484033407025301,0.2024911461742114,0.199967463437087,0.0457362496075149,0.1413412563667232,0.309928020405347,0.4746901386172334
cfg_079_s6p0_m08_far2800_w0p45-0p35-0p2,6.0,8.0,2800.0,0.45,0.35,0.2,12187,0.7484033407025301,0.1966611634056876,0.1978690132645762,0.043175487465181,0.1329380260137719,0.301040942242194,0.47289460701177544
