matchId,teamId,win,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
7696120185,200,0,16.2,0-14,14-25,1,1146,1,BOT,FARM_HEAVY,GROUP,236,427,910,24,267
7696122364,100,0,16.2,0-14,14-25,1,1638,0,BOT,FARM_HEAVY,GROUP,15,35,112,516,201
7696122364,200,1,16.2,0-14,14-25,1,1638,0,NEUTRAL,GANK_HEAVY,GROUP,143,126,96,41,111
7696122501,100,0,16.2,0-14,14-25,1,-1166,1,TOP,FARM_HEAVY,GROUP,804,62,246,69,89
7696122501,200,1,16.2,0-14,14-25,1,-1166,1,NEUTRAL,FARM_HEAVY,GROUP,145,163,134,904,111
7696122889,100,0,16.2,0-14,14-25,1,-1295,1,BOT,GANK_HEAVY,GROUP,69,19,126,27,89
7696122889,200,1,16.2,0-14,14-25,1,-1295,1,NEUTRAL,FARM_HEAVY,GROUP,516,25,166,799,518
7696124440,100,1,16.2,0-14,14-25,1,696,0,BOT,FARM_HEAVY,,96,60,112,238,117
7696124440,200,0,16.2,0-14,14-25,1,696,0,NEUTRAL,GANK_HEAVY,,202,56,800,78,412
7696125560,100,1,16.2,0-14,14-25,1,2163,0,NEUTRAL,FARM_HEAVY,GROUP,110,121,43,86,267
7696125560,200,0,16.2,0-14,14-25,1,2163,0,BOT,MIXED,GROUP,236,234,517,31,412
7696125766,100,0,16.2,0-14,14-25,1,-2629,-1,TOP,GANK_HEAVY,GROUP,145,799,127,904,53
7696125766,200,1,16.2,0-14,14-25,1,-2629,-1,NEUTRAL,FARM_HEAVY,SPLIT,110,163,238,420,412
7696126284,100,1,16.2,0-14,14-25,1,-2745,-1,BOT,GANK_HEAVY,GROUP,51,77,18,14,142
7696126284,200,0,16.2,0-14,14-25,1,-2745,-1,NEUTRAL,GANK_HEAVY,GROUP,15,59,55,23,555
7696127610,100,0,16.2,0-14,14-25,1,-720,0,BOT,MIXED,,110,234,99,799,43
7696127610,200,1,16.2,0-14,14-25,1,-720,0,NEUTRAL,FARM_HEAVY,,147,203,86,8,412
7696128159,100,0,16.2,0-14,14-25,1,35,0,TOP,GANK_HEAVY,,13,234,90,98,117
7696128159,200,1,16.2,0-14,14-25,1,35,0,TOP,MIXED,,145,11,14,68,526
7696129842,100,0,16.2,0-14,14-25,1,-1946,0,BOT,MIXED,GROUP,142,234,887,897,432
7696129842,200,1,16.2,0-14,14-25,1,-1946,0,BOT,FARM_HEAVY,GROUP,236,163,246,10,37
7696131053,100,1,16.2,0-14,14-25,1,3791,0,BOT,MIXED,GROUP,236,238,37,950,201
7696131053,200,0,16.2,0-14,14-25,1,3791,0,NEUTRAL,GANK_HEAVY,GROUP,96,131,246,43,40
7696131437,100,1,16.2,0-14,14-25,1,-417,0,BOT,GANK_HEAVY,GROUP,42,60,157,432,267
7696131437,200,0,16.2,0-14,14-25,1,-417,0,NEUTRAL,FARM_HEAVY,GROUP,804,120,84,98,40
7696132806,100,1,16.2,0-14,14-25,1,3075,1,TOP,MIXED,,99,107,61,36,43
7696132806,200,0,16.2,0-14,14-25,1,3075,1,NEUTRAL,GANK_HEAVY,,202,68,103,67,497
7696132950,100,1,16.2,0-14,14-25,1,865,-1,NEUTRAL,GANK_HEAVY,GROUP,145,799,163,266,412
7696132950,200,0,16.2,0-14,14-25,1,865,-1,BOT,GANK_HEAVY,GROUP,800,59,55,904,60
7696133382,100,0,16.2,0-14,14-25,1,1422,-1,NEUTRAL,GANK_HEAVY,SPLIT,42,234,101,24,555
7696133382,200,1,16.2,0-14,14-25,1,1422,-1,BOT,GANK_HEAVY,GROUP,81,20,110,41,432
7696133727,100,0,16.2,0-14,14-25,1,-335,1,NEUTRAL,MIXED,GROUP,360,106,103,777,432
7696133727,200,1,16.2,0-14,14-25,1,-335,1,NEUTRAL,FARM_HEAVY,GROUP,110,54,101,266,267
7696134342,100,1,16.2,0-14,14-25,1,3394,0,TOP,MIXED,,29,421,166,18,432
7696134342,200,0,16.2,0-14,14-25,1,3394,0,NEUTRAL,FARM_HEAVY,,157,234,61,14,267
7696135489,100,0,16.2,0-14,14-25,1,1411,0,BOT,GANK_HEAVY,GROUP,42,141,13,887,267
7696135489,200,1,16.2,0-14,14-25,1,1411,0,TOP,MIXED,SPLIT,901,121,31,10,37
7696135610,100,1,16.2,0-14,14-25,1,301,0,BOT,GANK_HEAVY,,360,72,101,68,43
7696135610,200,0,16.2,0-14,14-25,1,301,0,NEUTRAL,FARM_HEAVY,,236,238,154,799,267
7696135813,100,0,16.2,0-14,14-25,1,-1580,-1,BOT,MIXED,GROUP,15,76,35,799,201
7696135813,200,1,16.2,0-14,14-25,1,-1580,-1,NEUTRAL,FARM_HEAVY,GROUP,222,107,84,150,12
7696136082,100,1,16.2,0-14,14-25,1,769,0,BOT,MIXED,GROUP,523,72,134,110,76
7696136082,200,0,16.2,0-14,14-25,1,769,0,NEUTRAL,MIXED,SPLIT,42,126,13,67,80
7696136560,100,1,16.2,0-14,14-25,1,-2161,-1,TOP,MIXED,GROUP,901,234,134,799,432
7696136560,200,0,16.2,0-14,14-25,1,-2161,-1,BOT,MIXED,GROUP,18,5,115,39,99
7696136608,100,1,16.2,0-14,14-25,1,-1606,0,BOT,GANK_HEAVY,GROUP,523,245,103,897,57
7696136608,200,0,16.2,0-14,14-25,1,-1606,0,NEUTRAL,FARM_HEAVY,SPLIT,114,62,41,68,432
7696138217,100,1,16.2,0-14,14-25,1,2847,2,BOT,MIXED,,18,104,157,68,161
7696138217,200,0,16.2,0-14,14-25,1,2847,2,TOP,FARM_HEAVY,,50,266,163,78,40
7696139224,100,0,16.2,0-14,14-25,1,1221,1,BOT,FARM_HEAVY,GROUP,202,56,157,150,142
7696139224,200,1,16.2,0-14,14-25,1,1221,1,TOP,FARM_HEAVY,GROUP,110,64,103,164,497
7696141173,100,1,16.2,0-14,14-25,1,3841,0,BOT,MIXED,GROUP,69,68,29,114,12
7696141173,200,0,16.2,0-14,14-25,1,3841,0,NEUTRAL,MIXED,GROUP,236,245,142,122,526
7696142389,100,1,16.2,0-14,14-25,1,3941,0,NEUTRAL,MIXED,SPLIT,145,131,39,150,89
7696142389,200,0,16.2,0-14,14-25,1,3941,0,NEUTRAL,GANK_HEAVY,GROUP,110,246,268,106,267
7696142881,100,1,16.2,0-14,14-25,1,2946,0,NEUTRAL,FARM_HEAVY,,804,76,4,266,117
7696142881,200,0,16.2,0-14,14-25,1,2946,0,NEUTRAL,MIXED,,81,35,36,887,267
7696144030,100,0,16.2,0-14,14-25,1,-1899,0,BOT,MIXED,,145,421,245,799,497
7696144030,200,1,16.2,0-14,14-25,1,-1899,0,NEUTRAL,FARM_HEAVY,,221,246,90,114,48
7696144161,100,0,16.2,0-14,14-25,1,-622,1,NEUTRAL,FARM_HEAVY,GROUP,119,28,157,110,40
7696144161,200,1,16.2,0-14,14-25,1,-622,1,BOT,GANK_HEAVY,GROUP,69,126,163,897,111
7696144875,100,0,16.2,0-14,14-25,1,1271,2,NEUTRAL,MIXED,GROUP,143,107,950,266,432
7696144875,200,1,16.2,0-14,14-25,1,1271,2,NEUTRAL,FARM_HEAVY,GROUP,110,19,43,39,40
7696144949,100,0,16.2,0-14,14-25,1,-372,-1,NEUTRAL,FARM_HEAVY,GROUP,42,238,61,24,555
