model,variant_id,feature_set,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds
histgbr,events_combat_strong_65_35,champions_only,quantile,0.07433615405341654,0.2726465735222369,0.23246779211789717,0.11872051270077688,0.34461770434830385,0.335427019219038,0.09825460673409332,0.2904311716556549,0.33830599578542253,268423,57335,val,2.261181354522705
histgbr,events_equal_70_15_15,all,raw,0.01905157550443345,0.13802744475079387,0.11164492277658304,0.1497135376431461,0.38697189897244716,0.37126372848940564,0.05710520689159363,0.1496865600347519,0.38149855857690784,268423,57335,val,3.881202459335327
histgbr,events_equal_70_15_15,all,quantile,0.07098591340426794,0.26643181755238604,0.2262013251226862,0.14638355700325,0.3826494029287396,0.3720331637823762,0.10873071162333081,0.28837308287620544,0.37704875413079864,268423,57335,val,4.428595066070557
histgbr,events_equal_70_15_15,no_spells,raw,0.019069745284026815,0.13809324850993554,0.11171802380174528,0.14890260641025932,0.38598430971520825,0.37058726242507595,0.05645912809564861,0.1496865600347519,0.3771823474501706,268423,57335,val,2.221121072769165
histgbr,events_equal_70_15_15,no_spells,quantile,0.07103287893251908,0.26651994096599807,0.2264559118555532,0.14581878935785986,0.3820388344496171,0.37148584796253287,0.10688565220349071,0.28837308287620544,0.37065058616922036,268423,57335,val,1.869859218597412
histgbr,events_equal_70_15_15,no_side,raw,0.019082732453400808,0.1381402636938297,0.11173776293276101,0.14832297905605585,0.3852212097573486,0.3695325650815238,0.056420218940992375,0.1496865600347519,0.3769224099203937,268423,57335,val,4.0648064613342285
histgbr,events_equal_70_15_15,no_side,quantile,0.07111422785007965,0.26667251048820095,0.22651560184008357,0.14484055620821767,0.3806895337453047,0.3700686603604779,0.10721337504249082,0.28837308287620544,0.3717870405002953,268423,57335,val,4.368772268295288
histgbr,events_equal_70_15_15,champions_only,raw,0.019094550215989107,0.13818303157764744,0.11179432780878513,0.14779554322578348,0.38450945599885333,0.3689428148253584,0.0565123974714075,0.1496865600347519,0.3775382202536242,268423,57335,val,2.544498920440674
histgbr,events_equal_70_15_15,champions_only,quantile,0.07113363669204974,0.2667088987867666,0.22656486333574943,0.14460716192122947,0.380367569697238,0.369611137310136,0.10732500064105202,0.28837308287620544,0.37217412794080074,268423,57335,val,2.0167179107666016
histgbr,events_heavy_50_30_20,all,raw,0.021962495081494785,0.14819748675836167,0.12115153048343415,0.11958306321159606,0.34586583254788184,0.3362893496861884,0.053626739247796415,0.15794163942337036,0.339535156426022,268423,57335,val,4.233571290969849
histgbr,events_heavy_50_30_20,all,quantile,0.0731326438027263,0.2704304786867159,0.23046962399627122,0.12055159409195115,0.34721060040512847,0.3374654961541101,0.09961562970515087,0.2883702516555786,0.34544350234894894,268423,57335,val,5.573830604553223
histgbr,events_heavy_50_30_20,no_spells,raw,0.021967234977582243,0.1482134777190733,0.12119369464408172,0.1193930536166693,0.34567504642362706,0.3359934566017836,0.05303160722061284,0.15794163942337036,0.3357671062186394,268423,57335,val,2.996793031692505
histgbr,events_heavy_50_30_20,no_spells,quantile,0.07315148591737569,0.27046531370468874,0.23057093474623422,0.1203250103554594,0.34689686958765625,0.33709476433466196,0.09904048819688324,0.2883702516555786,0.3434490472865226,268423,57335,val,2.601012945175171
histgbr,events_heavy_50_30_20,no_side,raw,0.022097062188422206,0.14865080621517734,0.12170146380553519,0.11418863240426291,0.3380049015571451,0.328993627122031,0.0521756769083672,0.15794163942337036,0.3303478240371288,268423,57335,val,4.329293489456177
histgbr,events_heavy_50_30_20,no_side,quantile,0.07353042147965454,0.2711649340893002,0.2314111394319289,0.11576816325053396,0.34025737078744855,0.3297185426364926,0.09739811209009591,0.2883702516555786,0.33775367442001436,268423,57335,val,3.600911855697632
histgbr,events_heavy_50_30_20,champions_only,raw,0.02210279857117002,0.14867009978865967,0.12171524189336651,0.11395867635836121,0.3377024552432248,0.3290796944098513,0.05188713349489027,0.15794163942337036,0.32852092509818925,268423,57335,val,1.7790992259979248
histgbr,events_heavy_50_30_20,champions_only,quantile,0.07355525181130404,0.27121071477967834,0.2314289467191662,0.11546956888211157,0.33980999124177147,0.32931343161117166,0.09772032938621991,0.2883702516555786,0.33887104798498546,268423,57335,val,2.3863587379455566
histgbr,events_light_85_10_05,all,raw,0.024230700161990186,0.15566213464420364,0.12589953001021817,0.1556751395451741,0.39470392640526486,0.38081498352070536,0.0651025794256438,0.1694057732820511,0.38429965026783164,268423,57335,val,3.8134093284606934
histgbr,events_light_85_10_05,all,quantile,0.07048684189984955,0.26549358165471637,0.22521837309003948,0.15273022023829352,0.3908963348372729,0.38089654290037034,0.11056676928805413,0.2884318232536316,0.38333762218334555,268423,57335,val,3.721184015274048
histgbr,events_light_85_10_05,no_spells,raw,0.024241823264866864,0.15569785889621882,0.12594353150123108,0.15528755221912116,0.3941436456432305,0.38013399132477016,0.06552091114767147,0.1694057732820511,0.38676905679349455,268423,57335,val,2.3309009075164795
histgbr,events_light_85_10_05,no_spells,quantile,0.0705134807383317,0.26554374543252135,0.22545235296980806,0.15241001461969084,0.39064100110781863,0.38065598713384663,0.1088131615475889,0.2884318232536316,0.3772578223863474,268423,57335,val,1.9756596088409424
histgbr,events_light_85_10_05,no_side,raw,0.02424342191910974,0.15570299264660825,0.12591355101395219,0.15523184670869394,0.39404203546320377,0.3801256847188844,0.06583658372371685,0.1694057732820511,0.38863246776190236,268423,57335,val,3.8349430561065674
histgbr,events_light_85_10_05,no_side,quantile,0.07050031723315249,0.26551895833094946,0.22523082351118853,0.1525682433022857,0.39068196672333805,0.38078225042444275,0.11062095503217295,0.2884318232536316,0.3835254854485969,268423,57335,val,4.591698408126831
histgbr,events_light_85_10_05,champions_only,raw,0.024260205565664952,0.15575687967362775,0.12596525270683928,0.15464701631002964,0.39328751768731357,0.37942200283880156,0.06585114075150963,0.1694057732820511,0.38871839770107003,268423,57335,val,2.495959758758545
histgbr,events_light_85_10_05,champions_only,quantile,0.07054591456869103,0.2656048090089692,0.22529339530787673,0.15202015172379868,0.3899628803049011,0.3799925976109476,0.11072693686043006,0.2884318232536316,0.3838929269710391,268423,57335,val,2.1964354515075684
histgbr,events_only_60_40,all,raw,0.03735058386949833,0.19326299146370038,0.16242153162368408,0.0597440930056935,0.24456868407281812,0.24429145281686676,0.04716502584048514,0.19930842518806458,0.23664341231927802,268423,57335,val,3.4840056896209717
histgbr,events_only_60_40,all,quantile,0.1134824119363873,0.3368715065665057,0.29194164406552997,0.06420631535465604,0.25364826616601227,0.24395541902377482,0.08445231370255779,0.34823644161224365,0.24251429089834958,268423,57335,val,3.5670955181121826
histgbr,events_only_60_40,no_spells,raw,0.03735311759504869,0.1932695464760258,0.16233054464328067,0.059680309520440455,0.24432453203353113,0.2441063119381446,0.04814136815846952,0.19930842518806458,0.24154206282571353,268423,57335,val,1.7827939987182617
histgbr,events_only_60_40,no_spells,quantile,0.11353158690633568,0.3369444863866089,0.2918118144131011,0.06380081087572309,0.2526040662944616,0.24301325409565425,0.0881061402584547,0.34823644161224365,0.2530066636637634,268423,57335,val,2.43025279045105
histgbr,events_only_60_40,no_side,raw,0.03790595215269351,0.19469450981651618,0.16436057660696304,0.045763366207524414,0.21394296466408988,0.21915599920331744,0.04279714828939766,0.19930842518806458,0.21472824467412696,268423,57335,val,3.172420024871826
histgbr,events_only_60_40,no_side,quantile,0.11461384156847437,0.33854666084378143,0.2931503856883698,0.054876369980202844,0.23428012696210648,0.2204648794293864,0.08224064671798771,0.34823644161224365,0.23616324109342213,268423,57335,val,3.3835561275482178
histgbr,events_only_60_40,champions_only,raw,0.037929574165873364,0.19475516467060217,0.1643419351030986,0.04516871051204563,0.2126463756520089,0.21811656670780913,0.04369303316065167,0.19930842518806458,0.219223212061525,268423,57335,val,2.0394210815429688
histgbr,events_only_60_40,champions_only,quantile,0.11457931815700068,0.33849566933271197,0.29320720410124046,0.05516105542068872,0.23491561038159567,0.2205515659275721,0.08032337396022073,0.34823644161224365,0.23065757732977202,268423,57335,val,1.718156099319458
histgbr,events_selected_75_15_10,all,raw,0.021599674181927497,0.1469682761072181,0.11890957522969464,0.15084201043377798,0.38857390815411413,0.37418398117459445,0.06006457486027008,0.1594884842634201,0.3766075973301249,268423,57335,val,4.53546667098999
histgbr,events_selected_75_15_10,all,quantile,0.07092506417826626,0.2663176002037159,0.2261949079804767,0.14735077891784398,0.3840166922780777,0.37381050690899703,0.10773549564907635,0.2884128987789154,0.37354603800734176,268423,57335,val,4.163248062133789
histgbr,events_selected_75_15_10,no_spells,raw,0.021613334264769312,0.14701474165800282,0.11893612466142313,0.15030498527378877,0.38773169048873546,0.37324568402349756,0.061023099205113396,0.1594884842634201,0.382617588266274,268423,57335,val,2.7964470386505127
histgbr,events_selected_75_15_10,no_spells,quantile,0.07097478260348278,0.26641092808569766,0.22622775900179096,0.1467530723521122,0.38317602005001455,0.3731458212567613,0.10821314277070797,0.2884128987789154,0.375202160613695,268423,57335,val,3.649447202682495
histgbr,events_selected_75_15_10,no_side,raw,0.021630180543557885,0.14707202502025288,0.11899505990840623,0.1496426997176601,0.3869002988643823,0.37220834784085993,0.06063628644874126,0.1594884842634201,0.38019225481252283,268423,57335,val,4.918159246444702
histgbr,events_selected_75_15_10,no_side,quantile,0.0710015193835158,0.2664611029465948,0.22633801052961997,0.14643164726870161,0.3828488102498702,0.37252562982723453,0.10707654111244759,0.2884128987789154,0.3712612770295261,268423,57335,val,4.292071104049683
histgbr,events_selected_75_15_10,champions_only,raw,0.021637801945218416,0.14709793317792882,0.11904777089175989,0.14934307602624586,0.3866894951020526,0.37227520010592113,0.05952230829446802,0.1594884842634201,0.37320756146981526,268423,57335,val,2.241171360015869
histgbr,events_selected_75_15_10,champions_only,quantile,0.07104858555619621,0.2665494054695981,0.22638192112587244,0.14586582563793915,0.38203337901129203,0.37170482807705235,0.10766332326002179,0.2884128987789154,0.37329579819712483,268423,57335,val,3.109504461288452
histgbr,events_tiny_90_07_03,all,raw,0.02579986585085309,0.16062336645349298,0.12991994216462058,0.1571295299052532,0.3965731170109603,0.38281930639228134,0.06737858244401121,0.17495578527450562,0.38511777326079394,268423,57335,val,5.537357330322266
histgbr,events_tiny_90_07_03,all,quantile,0.07037570719484337,0.265284200801411,0.22509905768690355,0.15401438640914444,0.3925774925790152,0.38269370438697226,0.11052089812358756,0.28842300176620483,0.38319030537368726,268423,57335,val,4.792799472808838
histgbr,events_tiny_90_07_03,no_spells,raw,0.025831231793109928,0.16072097496316382,0.12995690330977838,0.156104818123889,0.395145479149461,0.3815169292259408,0.06822731315170111,0.17495578527450562,0.38996888868037405,268423,57335,val,2.5330564975738525
histgbr,events_tiny_90_07_03,no_spells,quantile,0.07039076326979385,0.26531257653905865,0.22515982136807733,0.15383339749531377,0.3923668783163866,0.3823180918682817,0.11024023996717967,0.28842300176620483,0.38221722710084066,268423,57335,val,3.301827907562256
histgbr,events_tiny_90_07_03,no_side,raw,0.025792561718067673,0.16060062801268143,0.12987595855120093,0.15736815276748317,0.39684143541126304,0.3832640015773658,0.06762774562335896,0.17495578527450562,0.3865419226763553,268423,57335,val,4.487786531448364
histgbr,events_tiny_90_07_03,no_side,quantile,0.07038405506942313,0.2652999341677701,0.225024276964809,0.1539140366992795,0.39237793339936583,0.3824732258841691,0.11152135847927087,0.28842300176620483,0.38665903134060675,268423,57335,val,4.729051828384399
histgbr,events_tiny_90_07_03,champions_only,raw,0.025821596971434733,0.1606909984144561,0.1299554886453959,0.15641958358513586,0.3956183930072773,0.3820645702547967,0.06760017823171617,0.17495578527450562,0.3863843549137372,268423,57335,val,3.1235239505767822
histgbr,events_tiny_90_07_03,champions_only,quantile,0.07043038715417108,0.26538723999878194,0.2251166103460353,0.1533570792105836,0.3916668080749223,0.3815224180311181,0.11138114143875559,0.28842300176620483,0.3861728806533986,268423,57335,val,2.9907877445220947
histgbr,events_vision_only_80_20,all,raw,0.016820038969581595,0.12969209293392406,0.1043070008044969,0.1541007910419223,0.39269619938606604,0.37602788348866545,0.05396696334545155,0.14101138710975647,0.38271351308278573,268423,57335,val,4.318654775619507
histgbr,events_vision_only_80_20,all,quantile,0.070499798892396,0.26551798223923745,0.22514523732953948,0.15078488374740184,0.3883927876411828,0.37635226653609777,0.10993866744211671,0.28812775015830994,0.381562231967284,268423,57335,val,4.235515117645264
histgbr,events_vision_only_80_20,no_spells,raw,0.01683225258624672,0.12973917136411317,0.10432595067670998,0.153486554137107,0.3919419186864114,0.3755747201020074,0.05371528857911371,0.14101138710975647,0.3809287298004119,268423,57335,val,3.2399203777313232
histgbr,events_vision_only_80_20,no_spells,quantile,0.07058171336855182,0.2656721915604865,0.22542230357286963,0.14979817155127773,0.3872164581994245,0.3752058228399778,0.10839084612965981,0.28812775015830994,0.37619023530397594,268423,57335,val,3.377894878387451
