model,trained_target,decile,n,pred_mean,true_mean,true_std,abs_error_mean,true_q25,true_q75
HistGBT,raw,8,5747,0.4372873769096726,0.4428178472272714,0.17635818505969605,0.14183951166978465,0.3224484764790565,0.5631054292536356
HistGBT,raw,8,5747,0.4369623664176381,0.44711385973971124,0.17414697978084703,0.14058672870896569,0.3264955098829762,0.5663460198992931
HistGBT,raw,8,5747,0.4370968705053715,0.444581212241122,0.17527516389282558,0.1413291492097951,0.3233812471780429,0.5646363011437835
HistGBT,raw,9,5746,0.468204722039188,0.47256373053651185,0.17500977247111946,0.14074012377109027,0.3550951030163365,0.5917085592839992
HistGBT,raw,9,5746,0.46811428375075,0.46920770416292773,0.17748705425127395,0.14310151287036865,0.34817036603498386,0.592399855513081
HistGBT,raw,9,5746,0.468111712153148,0.47187209104776673,0.17613632689971573,0.14164244710061763,0.3533397187550246,0.5914862603316108
HistGBT,raw,10,5746,0.5200320984890245,0.5274718432487704,0.17798953812340282,0.1413296870035644,0.40900081104895014,0.650430926131386
HistGBT,raw,10,5746,0.5197448957987398,0.5279940919188244,0.17694947547960127,0.14041500332952558,0.41042464206826146,0.6509143247670656
HistGBT,raw,10,5746,0.5188163319657896,0.5276175782478969,0.1771857444894942,0.14083008296827437,0.40900081104895014,0.6503437743680487
HistGBT (quantile->raw),quantile,1,5747,0.2858327113865806,0.26337968629543096,0.17151531734349162,0.13553598107963033,0.13354348133519486,0.37427386626924136
HistGBT (quantile->raw),quantile,1,5747,0.28637219903303834,0.26478420559312965,0.17304713507830688,0.13717879947519582,0.1344063996596024,0.3779641536271081
HistGBT (quantile->raw),quantile,1,5747,0.2854380486315264,0.2633585492141219,0.1713920925555633,0.13565713229512394,0.13466797948901238,0.3744287119086525
HistGBT (quantile->raw),quantile,2,5747,0.32495335507290757,0.31431310339868235,0.1723036152337588,0.14024649594847236,0.1863900234074944,0.4285540170527905
HistGBT (quantile->raw),quantile,2,5747,0.325449104588012,0.31364760069189707,0.17176050772051255,0.1391958358283372,0.18756429580663947,0.424253333896742
HistGBT (quantile->raw),quantile,2,5747,0.32469099440751886,0.3146271275276765,0.1724554975136523,0.13995684352507412,0.18572646552634114,0.4281422873125137
HistGBT (quantile->raw),quantile,3,5747,0.3437135542403103,0.3407159438951889,0.17708047227020562,0.1428747874129286,0.20909034899417286,0.4581374547772391
HistGBT (quantile->raw),quantile,3,5747,0.34403708833569646,0.33769426119432616,0.17584494302879522,0.14235886666534367,0.20673001448794454,0.4544273649548934
HistGBT (quantile->raw),quantile,3,5747,0.3435525220342362,0.3385940265794392,0.17601268745605744,0.14222582779394027,0.20887127872450373,0.4550415282240584
