model,trained_target,evaluation_scale,eval_split,n_train,n_eval,notes,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,within_005,within_010,within_015,within_020,fixed_bin_acc,fixed_bin_adjacent_acc,train_quantile_bin_acc,train_quantile_adjacent_acc,fixed_bin_spearman,train_quantile_bin_spearman,fixed_bin_kendall_tau,train_quantile_bin_kendall_tau,fixed_bin_qwk,train_quantile_bin_qwk,used_sample_weight,seed,feature_protocol_id,test_dataset,metrics_source
MLP Embed Shared (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.03113734318640945,0.17645776601331395,0.14269066382507942,0.1422616580646876,0.3882227962792191,0.37730390305775935,0.057241901442145623,0.19052999878163798,0.3004351115739482,0.21323171156121667,0.4118987958516044,0.5886058328113036,0.7349307440662629,0.4759170320874226,0.9684694090624347,0.2887694021020394,0.8500208811860513,0.1601352216122873,0.31035996995827325,0.15012321284146785,0.28206570179784485,0.06723401222130054,0.24309468524695332,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions,raw,raw,test,268322,57468,,0.030748123572798217,0.1753514287731874,0.1413407712301131,0.1529834651253914,0.39165550938179755,0.37797618000838873,0.07796207799624712,0.19052999878163798,0.40918531724548873,0.21594626574789447,0.4192072109695831,0.598106772464676,0.7400118326720958,0.4832080462170251,0.9702269088884249,0.30437808867543675,0.84412194612654,0.23989411306534797,0.32756648170441116,0.22448149496075623,0.2926393969284894,0.16963370188875182,0.2818453294275124,,123.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions,quantile,quantile,test,268322,57468,,0.07383087108700628,0.2717183672242388,0.23005114357721146,0.14943825820266898,0.38787685024733426,0.3793807224232534,0.12017341944976181,0.294622611057171,0.40788933007739303,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.03092559180489331,0.17585673659229922,0.14206503579901394,0.14809475942458272,0.39141135125209015,0.3793795560089188,0.06296183351325635,0.19052999878163798,0.3304562741608761,0.21389294911950998,0.4152397856198232,0.5911463771142201,0.7367926498225099,0.47823136354144913,0.9692176515626088,0.2907357137885432,0.8496380594417763,0.18088301170180693,0.3136986237880596,0.1695147204833297,0.284471214525095,0.08938777825291921,0.24948256079558206,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions,raw,raw,test,268322,57468,,0.030710623074418096,0.17524446660142537,0.14126942181331134,0.15401648888434705,0.3925473546713084,0.3802041082051938,0.07607584163381202,0.19052999878163798,0.399285373013626,0.21671190923644462,0.41837196352752837,0.5957054360687687,0.7407426741838936,0.4830862392983922,0.9701051019697919,0.3030034105937217,0.8443655599638059,0.23498260911391847,0.32592923080418756,0.2200377713845277,0.2914303564211056,0.16333780520260843,0.2788569873626504,,42.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions,quantile,quantile,test,268322,57468,,0.07381629187885129,0.27169153810682306,0.23023422105354865,0.14960621662574825,0.3871219675406183,0.3786179434816637,0.11833457471570763,0.294622611057171,0.4016479736266576,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.030935275373879113,0.17588426698792337,0.1421805910992814,0.1478280067875265,0.3910060600893125,0.37861949740306555,0.061619228384170194,0.19052999878163798,0.32340958787697555,0.21274448388668477,0.4136562956775945,0.5901545207767801,0.735557179647804,0.47953643766965964,0.9695308693533793,0.29320665413795505,0.8486462031043364,0.18955708561744872,0.3130935295978368,0.17767683678999424,0.28384333108507265,0.09851521191204726,0.25025229374596114,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions,raw,raw,test,268322,57468,,0.030821694100119052,0.17556108367209133,0.1415684245167405,0.15095682265491173,0.3897046172514223,0.3768404427058767,0.07556054639791217,0.19052999878163798,0.39658083703926517,0.21451938470105103,0.41692768149230874,0.5950267975220993,0.7387763624973899,0.48277302150762164,0.9707141365629568,0.3008282870467043,0.843008282870467,0.23162022811956398,0.31904332945448644,0.21691310240021516,0.2858030612429134,0.15626663816155761,0.2709007828482599,,456.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions,quantile,quantile,test,268322,57468,,0.07371125079071139,0.2714981598293281,0.23013427127956837,0.150816332794949,0.3885286544214694,0.3803755106463857,0.11734824486421407,0.294622611057171,0.39830019984936876,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP Per-Role + Interactions (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.03091342952028555,0.17582215309876498,0.14215194211398965,0.1484297930776196,0.39260202957518986,0.3803759300962071,0.0610241195561073,0.19052999878163798,0.3202861488811829,0.21495440941045452,0.413099464049558,0.5898239019976335,0.7352613628454097,0.4782487645298253,0.9698092851673975,0.2925454165796617,0.8503340989768219,0.18428975746682458,0.3167456634345826,0.17275749883460176,0.2871161582332276,0.0935265491773275,0.2531775937872002,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
