support_champion_name,rows,v5_mean,v8_mean,productive_event_mean,alive_outside_mean,no_productive_share
Kindred,36,0.31416723662162244,0.27190677636754923,0.2314814814814815,0.13974867724867723,0.5277777777777778
Samira,2,0.7744238102012612,0.2715610411645284,0.0,0.4375,1.0
Hwei,481,0.3161285815153788,0.26292207433617465,0.24227304227304228,0.11777299277299276,0.5634095634095634
Malphite,121,0.319863273756099,0.26141077467968776,0.24214876033057853,0.10158402203856749,0.5454545454545454
Seraphine,7739,0.31412041245586053,0.26126742557614907,0.2428780634879614,0.11407020102264966,0.5629926347073265
Smolder,4,0.2729814021457173,0.2604905054631665,0.25,0.07291666666666666,0.5
Nocturne,8,0.4276512580484701,0.25758471169035124,0.2,0.11875,0.375
Xerath,864,0.29398963908165204,0.2483317333342434,0.22777777777777775,0.1056699184303351,0.5648148148148148
Zyra,1605,0.30587259064348576,0.24811563410528129,0.22083073727933542,0.11718736092567869,0.5981308411214953
Kled,11,0.29141490648567636,0.24741861324639458,0.18181818181818182,0.14891774891774892,0.5454545454545454
Malzahar,47,0.33540387606207367,0.24680773018266858,0.19858156028368795,0.1554711246200608,0.6170212765957447
Heimerdinger,204,0.3220403712031696,0.24542280737386746,0.1918300653594771,0.16318860877684407,0.6421568627450981
MissFortune,49,0.29621967982955266,0.24322796633546526,0.22312925170068026,0.10689990281827016,0.5306122448979592
Milio,7935,0.2924578179495655,0.23584427221046042,0.21378701953371138,0.10217316290095117,0.6071833648393195
Ziggs,33,0.31528795228090417,0.22714883510592748,0.1808080808080808,0.12023809523809523,0.5757575757575758
Kayle,67,0.26659188755031293,0.22598578616376586,0.2009950248756219,0.11728855721393035,0.6119402985074627
Azir,3,0.42629831714600974,0.2180616072647729,0.1111111111111111,0.15079365079365079,0.6666666666666666
Yorick,3,0.17541810106374936,0.21100046649350127,0.1111111111111111,0.15595238095238095,0.6666666666666666
Illaoi,6,0.39798964818052057,0.20866080475845347,0.16666666666666666,0.07142857142857142,0.5
Volibear,10,0.28440642186278964,0.20640068845739346,0.13333333333333333,0.13285714285714284,0.8
Kalista,14,0.3080054296111366,0.19640959297137137,0.15476190476190474,0.07695578231292517,0.6428571428571429
Mordekaiser,10,0.2825739323850341,0.19637668827448956,0.16666666666666666,0.07440476190476189,0.6
Gangplank,4,0.25048977831890884,0.18303709932035736,0.16666666666666666,0.03125,0.5
Garen,4,0.36782030570502466,0.16609353577722827,0.08333333333333333,0.14285714285714285,0.75
