case_id,case_group,case_rank,score_band,match_id,team_id,side,patch,prediction,actual,signed_error,abs_error,ally_top_champion_name,ally_jungle_champion_name,ally_middle_champion_name,ally_bottom_champion_name,ally_utility_champion_name,enemy_top_champion_name,enemy_jungle_champion_name,enemy_middle_champion_name,enemy_bottom_champion_name,enemy_utility_champion_name,ally_support_expert_score,ally_support_expert_archetype,ally_support_expert_confidence,enemy_support_expert_score,enemy_support_expert_archetype,enemy_support_expert_confidence,ally_support_champion_mean_score,ally_support_champion_n,enemy_support_champion_mean_score,enemy_support_champion_n,valid_support_frames_v5,valid_coop_frames_v5,outside_ratio_v5,far_ratio_v5,xp_gap_v5,support_score_confidence_v5,score_reconstructed_delta,raw_score_reconstructed_delta,support_early_kills,support_early_deaths,support_early_assists,adc_early_kills,adc_early_deaths,adc_early_assists,bot_related_events_0_12,support_final_kda,adc_final_kda,evidence_tag,raw_missing
bottom_error_11_EUW1_7728913380_200,bottom_error,11,high_mid,EUW1_7728913380,200,red,16.3,0.5217063453485824,0.5216283160510876,7.802929749478604e-05,7.802929749478604e-05,Volibear,Jayce,Vladimir,Ekko,Alistar,Riven,Zaahen,Irelia,Veigar,Karma,0.82,engage_roamer,0.9,0.42,lane_enchanter,0.7,0.44976581560309126,13953,0.3872413347731952,27136,7,7.0,0.42857142857142855,0.2857142857142857,0.635225582548339,1.0,0.0,0.0,1,3,2,1,1,2,10,1/3/3,2/1/2,accurate_mid,False
bottom_error_12_EUW1_7758367754_100,bottom_error,12,high_mid,EUW1_7758367754,100,blue,16.4,0.5016817653063851,0.5015348970987225,0.00014686820766263153,0.00014686820766263153,Yasuo,Vi,Ornn,Jhin,Elise,Aatrox,Shaco,Galio,Smolder,Braum,0.72,pick_roamer,0.55,0.48,protective_warden,0.75,0.5341652830250864,5078,0.3591134453520027,14668,7,7.0,0.2857142857142857,0.2857142857142857,0.8495199821388701,1.0,0.0,0.0,2,1,7,1,0,5,12,2/1/10,3/0/6,accurate_mid,False
bottom_error_13_EUW1_7808656114_100,bottom_error,13,high_mid,EUW1_7808656114,100,blue,16.7,0.539309966645393,0.5395855490584798,-0.00027558241308678344,0.00027558241308678344,Gangplank,Aatrox,Yone,Seraphine,Bard,Vladimir,MonkeyKing,Akali,Yasuo,Janna,0.95,roaming_specialist,0.95,0.58,enchanter_roamer,0.7,0.5061715449920616,22623,0.43375721336491035,14180,7,6.0,0.14285714285714285,0.5,1.0,1.0,0.0,0.0,1,1,2,2,1,1,10,3/5/16,6/5/13,accurate_mid,False
bottom_error_14_EUW1_7753745474_200,bottom_error,14,high_mid,EUW1_7753745474,200,red,16.4,0.5716005572174535,0.571910036897623,-0.0003094796801694777,0.0003094796801694777,Gnar,Kayn,Fizz,Caitlyn,Shaco,Zaahen,Ekko,Yone,Jhin,Bard,0.74,ambush_roamer,0.65,0.95,roaming_specialist,0.95,0.5404283634733934,1445,0.5061715449920616,22623,7,4.0,0.2857142857142857,0.75,0.4182397357243983,1.0,0.0,0.0,2,1,2,1,5,2,13,8/5/16,11/11/14,chaotic_early_game,False
bottom_error_15_EUW1_7748838971_200,bottom_error,15,high_mid,EUW1_7748838971,200,red,16.4,0.5627686557706384,0.5624565656341897,0.0003120901364487283,0.0003120901364487283,Jayce,Zed,Ryze,Seraphine,Rell,Fiora,Naafiri,Irelia,AurelionSol,Shaco,0.82,engage_roamer,0.85,0.74,ambush_roamer,0.65,0.4373914077290479,12474,0.5404283634733934,1445,7,7.0,0.14285714285714285,0.5714285714285714,1.0,1.0,0.0,0.0,1,2,3,2,1,1,11,4/8/7,4/6/4,accurate_mid,False
bottom_error_16_EUW1_7712893387_100,bottom_error,16,very_high,EUW1_7712893387,100,blue,16.2,0.6651504415271062,0.7800363615766873,-0.11488592004958109,0.11488592004958109,Jayce,Diana,Varus,Jhin,AurelionSol,Teemo,Hecarim,Yone,KogMaw,Leona,,,,0.8,engage_roamer,0.9,0.6695785772799829,136,0.41426731404073,12027,7,7.0,0.5714285714285714,0.8571428571428571,0.8045228510537532,1.0,0.0,0.0,3,1,3,0,1,1,11,6/1/15,1/3/11,accurate_high,False
bottom_error_17_EUW1_7827524842_100,bottom_error,17,very_high,EUW1_7827524842,100,blue,16.8,0.6271805007793448,0.7574631866793402,-0.13028268589999537,0.13028268589999537,Zed,Naafiri,Sylas,AurelionSol,Shaco,Irelia,Viego,Karma,Veigar,Alistar,0.74,ambush_roamer,0.65,0.82,engage_roamer,0.9,0.5404283634733934,1445,0.44976581560309126,13953,7,6.0,0.5714285714285714,0.6666666666666666,1.0,1.0,0.0,0.0,5,1,6,6,2,5,25,8/2/16,9/3/14,chaotic_early_game,False
bottom_error_18_EUW1_7736622895_100,bottom_error,18,very_high,EUW1_7736622895,100,blue,16.3,0.6136877154640713,0.7648476261889188,-0.15115991072484747,0.15115991072484747,Renekton,Ambessa,Katarina,Sivir,Bard,Aurora,Zac,Yone,Seraphine,Nautilus,0.95,roaming_specialist,0.95,0.84,engage_roamer,0.9,0.5061715449920616,22623,0.4161522916633062,28879,7,7.0,0.5714285714285714,0.7142857142857143,0.9616153538584564,1.0,0.0,0.0,2,0,7,0,0,3,11,3/3/14,4/3/8,accurate_high,False
bottom_error_19_EUW1_7772199297_100,bottom_error,19,very_high,EUW1_7772199297,100,blue,16.5,0.6069211399280625,0.7594213000296438,-0.1525001601015813,0.1525001601015813,Ambessa,Graves,Smolder,Ziggs,Bard,Garen,XinZhao,Galio,Ezreal,Karma,0.95,roaming_specialist,0.95,0.42,lane_enchanter,0.7,0.5061715449920616,22623,0.3872413347731952,27136,7,7.0,0.42857142857142855,0.8571428571428571,1.0,1.0,0.0,0.0,0,1,2,2,0,0,4,1/5/13,6/0/9,accurate_high,False
bottom_error_20_EUW1_7761485723_200,bottom_error,20,very_high,EUW1_7761485723,200,red,16.4,0.5862815630709302,0.7550131693171546,-0.1687316062462244,0.1687316062462244,Darius,Lillia,Viktor,Ezreal,Elise,Zac,Ekko,Akshan,Seraphine,Pantheon,0.72,pick_roamer,0.55,0.78,engage_roamer,0.8,0.5341652830250864,5078,0.48255392700672933,3907,4,4.0,0.5,0.75,1.0,0.6666666666666666,0.0,0.0,6,4,6,5,1,4,21,9/9/9,10/7/6,chaotic_early_game,False
