neighbor_scope,support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
all_champions_exploratory,74,Heimerdinger,mage_support,1,412,Thresh,hook,Support,True,0.3831765055656433,0.6168234944343567,False,False
all_champions_exploratory,74,Heimerdinger,mage_support,2,203,Kindred,,Marksman,False,0.5164198875427246,0.4835801124572754,False,False
all_champions_exploratory,74,Heimerdinger,mage_support,3,21,Miss Fortune,,Marksman,False,0.533951997756958,0.466048002243042,False,False
all_champions_exploratory,74,Heimerdinger,mage_support,4,54,Malphite,,Tank,False,0.549670934677124,0.450329065322876,False,False
all_champions_exploratory,74,Heimerdinger,mage_support,5,150,Gnar,,Fighter,False,0.5816086530685425,0.4183913469314575,False,False
all_champions_exploratory,80,Pantheon,engage_tank,1,245,Ekko,,Assassin,False,0.34384238719940186,0.6561576128005981,False,False
all_champions_exploratory,80,Pantheon,engage_tank,2,76,Nidalee,,Assassin,False,0.40008121728897095,0.599918782711029,False,False
all_champions_exploratory,80,Pantheon,engage_tank,3,901,Smolder,,Marksman,False,0.4434444308280945,0.5565555691719055,False,False
all_champions_exploratory,80,Pantheon,engage_tank,4,38,Kassadin,,Assassin,False,0.4973210096359253,0.5026789903640747,False,False
all_champions_exploratory,80,Pantheon,engage_tank,5,420,Illaoi,,Fighter,False,0.5140972137451172,0.4859027862548828,False,True
all_champions_exploratory,89,Leona,engage_tank,1,5,Xin Zhao,,Fighter,False,0.4692564606666565,0.5307435393333435,False,False
all_champions_exploratory,89,Leona,engage_tank,2,804,champ_804,,Unknown,False,0.4816155433654785,0.5183844566345215,False,False
all_champions_exploratory,89,Leona,engage_tank,3,14,Sion,,Tank,False,0.48784154653549194,0.5121584534645081,False,True
all_champions_exploratory,89,Leona,engage_tank,4,69,Cassiopeia,,Mage,False,0.5046663284301758,0.4953336715698242,False,False
all_champions_exploratory,89,Leona,engage_tank,5,82,Mordekaiser,,Fighter,False,0.5121515393257141,0.4878484606742859,False,False
all_champions_exploratory,99,Lux,mage_support,1,133,Quinn,,Marksman,False,0.429382860660553,0.570617139339447,False,False
all_champions_exploratory,99,Lux,mage_support,2,115,Ziggs,,Mage,False,0.4322914481163025,0.5677085518836975,False,True
all_champions_exploratory,99,Lux,mage_support,3,134,Syndra,,Mage,False,0.5089887380599976,0.49101126194000244,False,True
all_champions_exploratory,99,Lux,mage_support,4,131,Diana,,Fighter,False,0.5264493227005005,0.4735506772994995,False,False
all_champions_exploratory,99,Lux,mage_support,5,24,Jax,,Fighter,False,0.5542299747467041,0.4457700252532959,False,False
all_champions_exploratory,101,Xerath,mage_support,1,876,Lillia,,Fighter,False,0.31792670488357544,0.6820732951164246,False,False
all_champions_exploratory,101,Xerath,mage_support,2,350,Yuumi,enchanter,Support,True,0.36903589963912964,0.6309641003608704,False,False
all_champions_exploratory,101,Xerath,mage_support,3,910,Hwei,,Mage,False,0.5024777054786682,0.4975222945213318,False,True
all_champions_exploratory,101,Xerath,mage_support,4,29,Twitch,,Marksman,False,0.5583348870277405,0.4416651129722595,False,False
all_champions_exploratory,101,Xerath,mage_support,5,56,Nocturne,,Assassin,False,0.5597089529037476,0.44029104709625244,False,False
all_champions_exploratory,111,Nautilus,engage_tank,1,24,Jax,,Fighter,False,0.4114179015159607,0.5885820984840393,False,False
all_champions_exploratory,111,Nautilus,engage_tank,2,57,Maokai,engage_tank,Tank,True,0.4432653784751892,0.5567346215248108,True,True
all_champions_exploratory,111,Nautilus,engage_tank,3,518,Neeko,mage_support,Mage,True,0.4491721987724304,0.5508278012275696,False,False
all_champions_exploratory,111,Nautilus,engage_tank,4,31,Cho'Gath,,Tank,False,0.4693346619606018,0.5306653380393982,False,True
