config_id,support_champion_name,count,mean,median,std
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Mel,22,0.21332786192059655,0.16600819948032253,0.1596650626236673
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Milio,395,0.1322217720363705,0.10546874999999997,0.12412557156674188
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Morgana,108,0.2201300308951533,0.17879615336117594,0.19008276016104148
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Naafiri,1,0.2544174223687826,0.2544174223687826,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Nami,1282,0.173212622096851,0.14224970947433208,0.1483970369208488
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Nautilus,1193,0.2382913198298764,0.21698805202661822,0.170372942085722
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Neeko,419,0.22655304394694462,0.19024362986142154,0.17963366869183472
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Nidalee,82,0.29011091274298245,0.22601821224720098,0.22611429766737987
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Nunu,2,0.2955772063747154,0.2955772063747154,0.06445590339019999
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Orianna,2,0.17657074457690053,0.17657074457690053,0.1883073125203046
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Ornn,1,0.5085322808368631,0.5085322808368631,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Pantheon,150,0.27704836501494373,0.25341328413284137,0.1982566886942185
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Poppy,140,0.32327425432042817,0.32165358926353954,0.18973159356053004
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Pyke,458,0.3130294354518084,0.29293744416947315,0.21173108482464376
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Qiyana,1,0.3833333333333333,0.3833333333333333,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Quinn,1,0.09084449857896873,0.09084449857896873,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Rakan,705,0.2294316747733384,0.2029719116080937,0.17163207976742864
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Rammus,2,0.5872446280803525,0.5872446280803525,0.003327685756902216
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,RekSai,5,0.5559242112070013,0.5375,0.23124357297223105
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Rell,500,0.2558902214104618,0.23138871876718364,0.1820312566704652
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Renata,110,0.2123209986203517,0.18574988663943415,0.1652101133883444
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Rengar,2,0.3524521903408961,0.3524521903408961,0.11361642322409597
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Rumble,2,0.2793638365321857,0.2793638365321857,0.19829943196607577
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Ryze,1,0.017245215843346706,0.017245215843346706,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Sejuani,6,0.16937430225773842,0.10631867363214881,0.12951516492702736
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Senna,382,0.16924532612488863,0.13321048321048318,0.14710173031906973
