config_id,start_minute,max_minute,far_adc_threshold,w_outside,w_far,w_xp,rows,coverage,score_mean,score_std,score_p25,score_median,score_p75
cfg_036_s4p0_m12_far2800_w0p3-0p45-0p25,4.0,12.0,2800.0,0.3,0.45,0.25,16283,0.9999385900270203,0.29522324013494183,0.17133137050798863,0.16315295430749305,0.28082655826558267,0.4099307136894982
cfg_037_s5p0_m08_far2200_w0p45-0p35-0p2,5.0,8.0,2200.0,0.45,0.35,0.2,15703,0.9643208056988455,0.19948935133600343,0.18255165129460918,0.05417209992622207,0.15312864360668482,0.3015674873986095
cfg_038_s5p0_m08_far2200_w0p35-0p4-0p25,5.0,8.0,2200.0,0.35,0.4,0.25,15703,0.9643208056988455,0.22217746390265367,0.19181854159836428,0.06777617798864824,0.18130717552887363,0.3375627665428532
cfg_039_s5p0_m08_far2200_w0p3-0p45-0p25,5.0,8.0,2200.0,0.3,0.45,0.25,15703,0.9643208056988455,0.22880814451848835,0.19804341545953916,0.06781786037799854,0.18385552654482154,0.3504488961120532
cfg_040_s5p0_m08_far2500_w0p45-0p35-0p2,5.0,8.0,2500.0,0.45,0.35,0.2,15703,0.9643208056988455,0.19338966762376164,0.18049644718881142,0.050667544003355706,0.14679487179487177,0.291363851455849
cfg_041_s5p0_m08_far2500_w0p35-0p4-0p25,5.0,8.0,2500.0,0.35,0.4,0.25,15703,0.9643208056988455,0.21520639680294873,0.18921536614153633,0.06335218140814707,0.17148637978681408,0.3280412428261625
cfg_042_s5p0_m08_far2500_w0p3-0p45-0p25,5.0,8.0,2500.0,0.3,0.45,0.25,15703,0.9643208056988455,0.2209656940313203,0.1949684696516324,0.06335218140814707,0.17228821156432095,0.34051851643034836
cfg_043_s5p0_m08_far2800_w0p45-0p35-0p2,5.0,8.0,2800.0,0.45,0.35,0.2,15703,0.9643208056988455,0.18826325865732207,0.17867490032799827,0.048206473701287805,0.1394372112557749,0.2836238065570802
cfg_044_s5p0_m08_far2800_w0p35-0p4-0p25,5.0,8.0,2800.0,0.35,0.4,0.25,15703,0.9643208056988455,0.20934764369844638,0.18696163501189345,0.06025809212660975,0.16439332247557004,0.3172995846270499
cfg_045_s5p0_m08_far2800_w0p3-0p45-0p25,5.0,8.0,2800.0,0.3,0.45,0.25,15703,0.9643208056988455,0.21437459678875517,0.192280654057451,0.06025809212660975,0.16428867689755283,0.32781708837381107
cfg_046_s5p0_m10_far2200_w0p45-0p35-0p2,5.0,10.0,2200.0,0.45,0.35,0.2,16265,0.9988332105133874,0.2633712290894378,0.18492099288394748,0.11666666666666665,0.23468001430103685,0.37809045956951715
cfg_047_s5p0_m10_far2200_w0p35-0p4-0p25,5.0,10.0,2200.0,0.35,0.4,0.25,16265,0.9988332105133874,0.2872601405851823,0.1922467338299124,0.13633720930232557,0.26105724480297854,0.4127236217597664
cfg_048_s5p0_m10_far2200_w0p3-0p45-0p25,5.0,10.0,2200.0,0.3,0.45,0.25,16265,0.9988332105133874,0.29395299384425505,0.19635507094734117,0.1408671016483517,0.2674386701097482,0.4225
