ally_utility_champion_name,ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Ekko,Mel,2,0.07385952867880347,0.07385952867880347,0.07437155443133239,0.07385952867880347,0.4839301048765767,0.41007057619777326
JarvanIV,Ashe,1,0.07333649170273482,0.07333649170273482,0.07333649170273482,0.07333649170273482,0.4358797388164537,0.3625432471137189
Trundle,Caitlyn,2,0.07331309097048876,0.07331309097048876,0.11036840771813158,0.04631914593455354,0.38898024488181737,0.3426610989472639
RekSai,Kaisa,2,0.07322498109881118,0.07322498109881118,0.10186836426790002,0.03580422896136107,0.4615943108295213,0.4257900818681602
Amumu,Ezreal,3,0.07322149073056973,0.09637680496368134,0.09819010649659915,-0.05679200049843689,0.4507676331589936,0.5075596336574305
Leona,Xerath,4,0.07307716234246515,0.05249077333622265,0.1210174630702812,-0.04317553265009817,0.4634661884714319,0.50664172112153
Yuumi,Chogath,1,0.07302073400801572,0.07302073400801572,0.07302073400801572,0.07302073400801572,0.19271244803145804,0.11969171402344232
Janna,Heimerdinger,3,0.07251298585764947,0.09225696831008157,0.11476523954443807,0.07251298585764947,0.49220360533348395,0.41969061947583447
Elise,Vladimir,2,0.07247736112438763,0.07247736112438763,0.10288075492274076,0.03800424224794141,0.5822683070831705,0.544264064835229
Senna,Pantheon,3,0.07246911962532193,0.07233625586652681,0.10690017211211447,0.07246911962532193,0.3357722287308819,0.26330310910556
Zoe,Swain,3,0.0722891414298107,0.034713288957523736,0.14246080100946623,0.06378483722350635,0.4865091736308635,0.4227243364073571
Xerath,Tristana,2,0.07226727567775904,0.07226727567775904,0.07868293819907343,-0.07226727567775904,0.2878257918183943,0.36009306749615333
Ivern,KogMaw,1,0.07215736831551145,0.07215736831551145,0.07215736831551145,0.07215736831551145,0.3948823235255709,0.32272495521005945
Nami,Sylas,2,0.07187255649044463,0.07187255649044463,0.08577920077398501,-0.017383305354425477,0.35391956521765766,0.3713028705720831
Braum,Nilah,9,0.07154161400765673,0.03344365288247381,0.15796856828575936,0.03609267459264362,0.3107060108123785,0.2746133362197349
Leona,Malzahar,1,0.07139944011158095,0.07139944011158095,0.07139944011158095,0.07139944011158095,0.4693675786299313,0.39796813851835033
Vex,Jhin,4,0.0712479793627749,0.08405869728798623,0.107034537592711,0.030642040633212506,0.39824587081880636,0.36760383018559384
Lux,Velkoz,4,0.07106744261823765,0.04709044662876777,0.1378873894193884,0.01691073924470153,0.4043706189919518,0.38745987974725027
Zyra,Naafiri,1,0.07102575688009408,0.07102575688009408,0.07102575688009408,0.07102575688009408,0.3104447666075932,0.2394190097274991
Nami,Gnar,1,0.07071945292790116,0.07071945292790116,0.07071945292790116,-0.07071945292790116,0.376798321041326,0.44751777396922715
Sion,Kaisa,2,0.07068648951566467,0.07068648951566467,0.07758273824068493,0.008620310906275325,0.3389080350154837,0.3302877241092084
Velkoz,Aurora,1,0.07051371131636386,0.07051371131636386,0.07051371131636386,0.07051371131636386,0.3569963445490808,0.28648263323271694
Annie,Twitch,1,0.07043229954599345,0.07043229954599345,0.07043229954599345,0.07043229954599345,0.3750139892996814,0.30458168975368793
Sejuani,Ezreal,1,0.06999981838011926,0.06999981838011926,0.06999981838011926,-0.06999981838011926,0.402843444818811,0.4728432631989303
Sett,Senna,1,0.06979293301299105,0.06979293301299105,0.06979293301299105,0.06979293301299105,0.37320737798507164,0.3034144449720806
Sona,TahmKench,1,0.06970173344462277,0.06970173344462277,0.06970173344462277,0.06970173344462277,0.2985755052377996,0.2288737717931768
Mel,Syndra,3,0.0696147427808056,0.031053668630114106,0.1334252840456094,-0.04891229702739619,0.41039562945866165,0.4593079264860578
Yuumi,Yasuo,6,0.06957489255906359,0.021239303742203466,0.18182878603246774,0.055415356730927935,0.17688176380987844,0.1214664070789505
