ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Kled,4,0.13421986535956462,0.12643049848931434,0.1780566786295795,-0.03697145225467463,0.4472394103098721,0.4842108625645467
Taliyah,47,0.13419449164199393,0.11048577970093437,0.24864802791514062,-0.01361085976613175,0.4249506209720693,0.43856148073820106
Gwen,6,0.1334707740327892,0.10660514666004968,0.23385327158578478,0.12725358999005984,0.35597579532306645,0.22872220533300658
Syndra,180,0.13290214896389013,0.10193930086991873,0.2873172564869029,0.00860257867915848,0.434453449100926,0.4258508704217675
Sylas,10,0.13185848645381354,0.07579487050350586,0.2567800135512397,0.10026357808626576,0.3879784155468561,0.2877148374605903
Akali,8,0.13079995023546417,0.10223498855791754,0.23798418701368235,0.0077571291106454075,0.41393607761007023,0.4061789484994248
Gragas,1,0.129234859154992,0.129234859154992,0.129234859154992,0.129234859154992,0.4576613952148149,0.3284265360598229
Urgot,1,0.12884606304948615,0.12884606304948615,0.12884606304948615,0.12884606304948615,0.4563288094900028,0.32748274644051667
Galio,4,0.12853360038926137,0.10572619774071929,0.19174924970398996,0.08833911539093688,0.4244024877619754,0.33606337237103856
Viego,27,0.12779634298784445,0.0767668338065155,0.291548214004158,0.04591948388756658,0.4319429642617984,0.38602348037423184
Nasus,2,0.1269142110171678,0.1269142110171678,0.1316276652446547,0.1269142110171678,0.37121612907019674,0.24430191805302892
TahmKench,16,0.12657941011166712,0.11116129594785497,0.22153027675563908,0.07586461222298407,0.2682494382518176,0.1923848260288335
Briar,1,0.1262989190271449,0.1262989190271449,0.1262989190271449,0.1262989190271449,0.36527328942549847,0.23897437039835356
Pyke,1,0.12428767587840495,0.12428767587840495,0.12428767587840495,-0.12428767587840495,0.44033080046633366,0.5646184763447386
Yone,20,0.12395655032480535,0.0965465569061848,0.2602951076826705,0.032116940940656896,0.42936146677196474,0.39724452583130787
Annie,10,0.12142049362447298,0.14879084070159307,0.21509538502291506,0.061481231458061336,0.4377644042467865,0.37628317278872514
Zac,3,0.11928103815103593,0.12037744010519374,0.19622634444108933,-0.0390294114142401,0.5124965903176205,0.5515260017318607
TwistedFate,17,0.11561338751421167,0.08114671115552252,0.2560231479427274,-0.029811345906895537,0.40361427463249017,0.4334256205393857
Ryze,12,0.11293314721406983,0.12683126351602908,0.16696008039474605,0.03465776921100357,0.44121160055825454,0.406553831347251
XinZhao,5,0.11134476389248842,0.09576074516808086,0.16897953758483575,0.0009019815785639374,0.3899358374513525,0.38903385587278855
Kayn,3,0.11006520999688756,0.10964002552649066,0.19646199745698908,-0.10847313398051535,0.2891072347741648,0.3975803687546801
Fizz,7,0.1061712789621975,0.06898262491470109,0.24514436367176445,-0.06365119860497719,0.38362410760753185,0.44727530621250905
Ekko,38,0.10498602847009016,0.09467922209773422,0.1963988256344152,0.016129032306249888,0.46356378115393576,0.4474347488476859
Illaoi,2,0.10355930477136056,0.10355930477136056,0.16638172853577363,0.10355930477136056,0.326711983309392,0.22315267853803145
MonkeyKing,6,0.10236088907257997,0.10070677903587788,0.17196151638806884,0.10236088907257997,0.3106275341360793,0.20826664506349932
Rumble,2,0.10076486216728536,0.10076486216728536,0.10453641363391943,-0.004714439333292575,0.39902339423659755,0.4037378335698901
Maokai,1,0.10052305450378152,0.10052305450378152,0.10052305450378152,0.10052305450378152,0.2903545493466795,0.18983149484289796
Aatrox,2,0.09851445808366313,0.09851445808366313,0.14556383536769357,-0.05881172160503803,0.4553170041987322,0.5141287258037702
Kassadin,3,0.09291894658707493,0.0545722315323971,0.16785025648078156,-0.03786089522484352,0.4830005175814142,0.5208614128062578
Talon,4,0.08966858228972227,0.07928587009165475,0.18376958542882757,0.015299956171877072,0.43665814238985295,0.4213581862179759
Graves,4,0.08656172196690774,0.0398769377537844,0.19160173712572415,-0.08093169309613375,0.3981487348231472,0.47908042791928096
