ally_utility_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
RekSai,15,0.12926125241563244,0.10154905438274764,0.2921632053299311,0.09547838461210655,0.45254770062596533,0.3570693160138588
Jayce,2,0.12731834730378624,0.12731834730378624,0.15025426584717946,-0.02866989817924151,0.36502253549824093,0.3936924336774824
Chogath,12,0.1251886303592699,0.0975911751892922,0.24509547245264174,0.0288737355792368,0.4406570964314367,0.4117833608521999
Skarner,31,0.12152871355879509,0.10016993937903212,0.21989200067821285,-0.04290656598745498,0.42955340527423874,0.4724599712616937
Zaahen,6,0.11634514968829901,0.10963627186115535,0.19759619446771132,0.03253725391681315,0.3537164749124468,0.3211792209956336
Yuumi,695,0.11599287052404723,0.10454114366246707,0.1937580895034568,0.02034235793582961,0.162984498438087,0.14264214050225738
Malphite,11,0.11238676415973595,0.10667389149844209,0.23399600354352987,0.0021313569387170343,0.3023985867174292,0.3002672297787122
Kindred,4,0.11208869452716567,0.1025349294308793,0.1846815077423833,0.11208869452716567,0.36881352575588006,0.25672483122871437
Naafiri,3,0.11148706543508112,0.09966869762024388,0.19972817116283795,-0.10478742601073911,0.42472041631103047,0.5295078423217695
Riven,2,0.11014001395870772,0.11014001395870772,0.17597043512740054,0.08228802646086604,0.3740617541512169,0.2917737276903508
Tryndamere,1,0.10964002552649066,0.10964002552649066,0.10964002552649066,-0.10964002552649066,0.41568598168827775,0.5253260072147684
Cassiopeia,2,0.10694798431388662,0.10694798431388662,0.15513572059805275,0.10694798431388662,0.3924277470070765,0.28547976269318986
KogMaw,6,0.10665750732601849,0.105830908214214,0.19254645891569072,0.038618711944976326,0.2905880415047031,0.25196932955972673
Khazix,2,0.10397675022514394,0.10397675022514394,0.12466200008518082,-0.10397675022514394,0.433945570329582,0.5379223205547259
Vex,11,0.10346453960324586,0.08690551711684769,0.21159658192487635,-0.017034808963818742,0.38849126603969264,0.4055260750035114
Akali,3,0.10010936602864921,0.10535892980914424,0.1262575709748421,0.10010936602864921,0.45548714484395747,0.35537777881530824
Ornn,7,0.09855503704527435,0.08870433278645112,0.1677255858927231,0.03713762151518734,0.3293201816708681,0.2921825601556807
Aurora,4,0.09537380100889983,0.05781405252234417,0.21548006001977052,-0.0872109621228381,0.45929753442516974,0.5465084965480078
Malzahar,8,0.09440088920557739,0.10236358592042702,0.15898424968217087,-0.05408255475698169,0.34731704822229903,0.4013996029792807
Ziggs,4,0.08907156711349866,0.060929852683017316,0.16501513204789314,0.08907156711349866,0.324403297431758,0.23533173031825935
Aatrox,3,0.08862036369631156,0.09666313053679548,0.11853016198134227,-0.02417827667178124,0.4260163728178295,0.45019464948961074
Jinx,1,0.0847351716112763,0.0847351716112763,0.0847351716112763,-0.0847351716112763,0.34072850014432277,0.42546367175559907
Viego,2,0.0834826520553413,0.0834826520553413,0.13655407676521447,-0.0834826520553413,0.45458880219331954,0.5380714542486609
Ambessa,3,0.0777149240537517,0.08762617638345255,0.10736058529686404,-0.05556531855202793,0.42406033868677945,0.4796256572388074
Urgot,2,0.06792781287331462,0.06792781287331462,0.11319860248718643,-0.05658848701733976,0.3283323545522633,0.38492084156960304
Lillia,2,0.0638892269730803,0.0638892269730803,0.0860131029986887,-0.0638892269730803,0.40331653343204493,0.46720576040512524
MonkeyKing,3,0.05637650042806815,0.04149482181924408,0.08464144069298841,0.007242229846214847,0.3399719741320786,0.3327297442858637
Tristana,1,0.05485143541189341,0.05485143541189341,0.05485143541189341,-0.05485143541189341,0.4622027673362772,0.5170542027481706
DrMundo,2,0.027684850956838453,0.027684850956838453,0.039175320111573625,-0.027684850956838453,0.3698970705006894,0.3975819214575278
Mordekaiser,2,0.015095185054833454,0.015095185054833454,0.015275378510960263,0.015095185054833454,0.38538781875211425,0.37029263369728077
