match_id,team_id,label_m06,label_m08,label_m10,label_m12,label_m14,label_path,n_observed_windows,n_label_changes,n_extreme_flips_ignore_ambiguous,is_fully_stable,has_any_change
EUW1_7712877673,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712878350,100,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712878350,200,ambiguous,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous | farm_oriented | ambiguous | ambiguous | ambiguous,5,2,0,False,True
EUW1_7712878853,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712878853,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712881383,100,ambiguous,ambiguous,ambiguous,map_presence,map_presence,ambiguous | ambiguous | ambiguous | map_presence | map_presence,5,1,0,False,True
EUW1_7712881383,200,farm_oriented,farm_oriented,ambiguous,farm_oriented,farm_oriented,farm_oriented | farm_oriented | ambiguous | farm_oriented | farm_oriented,5,2,0,False,True
EUW1_7712883596,100,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712883596,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7712887067,100,ambiguous,map_presence,ambiguous,ambiguous,ambiguous,ambiguous | map_presence | ambiguous | ambiguous | ambiguous,5,2,0,False,True
EUW1_7712887067,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous,farm_oriented | farm_oriented | farm_oriented | farm_oriented | ambiguous,5,1,0,False,True
EUW1_7712891067,100,ambiguous,ambiguous,ambiguous,ambiguous,map_presence,ambiguous | ambiguous | ambiguous | ambiguous | map_presence,5,1,0,False,True
EUW1_7712891067,200,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712891174,100,ambiguous,ambiguous,ambiguous,map_presence,map_presence,ambiguous | ambiguous | ambiguous | map_presence | map_presence,5,1,0,False,True
EUW1_7712891174,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712892469,100,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712892469,200,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented,ambiguous | ambiguous | ambiguous | ambiguous | farm_oriented,5,1,0,False,True
EUW1_7712893387,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous,farm_oriented | farm_oriented | farm_oriented | farm_oriented | ambiguous,5,1,0,False,True
EUW1_7712893387,200,ambiguous,farm_oriented,ambiguous,farm_oriented,farm_oriented,ambiguous | farm_oriented | ambiguous | farm_oriented | farm_oriented,5,3,0,False,True
EUW1_7712895573,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7712895573,200,ambiguous,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,1,0,False,True
EUW1_7712909772,100,ambiguous,map_presence,map_presence,map_presence,map_presence,ambiguous | map_presence | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7712909772,200,map_presence,map_presence,ambiguous,ambiguous,ambiguous,map_presence | map_presence | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7712914694,100,ambiguous,map_presence,map_presence,map_presence,map_presence,ambiguous | map_presence | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7712914694,200,farm_oriented,farm_oriented,ambiguous,farm_oriented,farm_oriented,farm_oriented | farm_oriented | ambiguous | farm_oriented | farm_oriented,5,2,0,False,True
EUW1_7712914932,100,ambiguous,ambiguous,map_presence,map_presence,map_presence,ambiguous | ambiguous | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7712914932,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712915335,100,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7712915335,200,ambiguous,map_presence,map_presence,ambiguous,ambiguous,ambiguous | map_presence | map_presence | ambiguous | ambiguous,5,2,0,False,True
EUW1_7712915663,100,farm_oriented,ambiguous,farm_oriented,ambiguous,ambiguous,farm_oriented | ambiguous | farm_oriented | ambiguous | ambiguous,5,3,0,False,True
EUW1_7712915663,200,ambiguous,map_presence,map_presence,ambiguous,ambiguous,ambiguous | map_presence | map_presence | ambiguous | ambiguous,5,2,0,False,True
EUW1_7712920487,100,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
